bowa	b O w a
reetsang	r E E ts> a N
dithekesi	d i th E k> E s i
ramatlhale	r a m a tlh a l E
rakaneng	r a k> a n E N
utolola	u t> O l O l a
maemelafofane	m a E m E l a f O f a n E
kaediwa	k> a E d i w a
gogagoga	x O x a x O x a
atamelang	a t> a m E l a N
temothuo	t> E m O th u O
arabang	a r a b a N
bokaeding	b O k> a E d i N
iswa	i s w a
mpe	m p> E
ntshaba	n tsh a b a
ditsabakedi	d i ts> a b a k> E d i
ithaopang	i th a O p> a N
kitlanya	k> i tl> a J a
bareetsing	b a r E E ts> i N
tlolang	tl> O l a N
lehihiri	l E h i h i r i
pala	p> a l a
begiwa	b E x i w a
toka	t> O k> a
moletsaphala	m O l E ts> a ph a l a
mafokong	m a f O k> O N
dipontshong	d i p> O n tsh O N
itlhagisitse	i tlh a x i s i ts> E
dipharologanong	d i ph a r O l O x a n O N
bupi	b u p> i
bogelwang	b O x E l w a N
duelwang	d u E l w a N
kgwagediwa	kx w a x E d i w a
jewang	d0Z E w a N
borethe	b O r E th E
lenaneo	l E n a n E O
lenao	l E n a O
akarediweng	a k> a r E d i w E N
seba	s E b a
alafega	a l a f E x a
gakgamadiwa	x a kx a m a d i w a
menagano	m E n a x a n O
sesolo	s E s O l O
tshupong	tsh u p> O N
adimang	a d i m a N
kagosešwa	k> a x O s E S w a
dipone	d i p> O n E
didimetse	d i d i m E ts> E
kgonego	kx O n E x O
thabang	th a b a N
ipolelelang	i p> O l E l E l a N
segofatse	s E x O f a ts> E
lefufa	l E f u f a
makgabaganyong	m a kx a b a x a J O N
palame	p> a l a m E
borarong	b O r a r O N
nte	n t> E
rolelwa	r O l E l w a
repa	r E p> a
ikitsiso	i k> i ts> i s O
sugiwa	s u x i w a
botoka	b O t> O k> a
disa	d i s a
taka	t> a k> a
ditonki	d i t> O n k> i
matherialeng	m a th E r i a l E N
robadiwa	r O b a d i w a
temakgang	t> E m a kx a N
koafatsang	k> O a f a ts> a N
tlhaelela	tlh a E l E l a
lekana	l E k> a n a
kabong	k> a b O N
adilweng	a d i l w E N
tsenetswe	ts> E n E ts> w E
phuthologo	ph u th O l O x O
bontlha	b O n tlh a
kutlobotlhoko	k> u tl> O b O tlh O k> O
fodileng	f O d i l E N
mothusi	m O th u s i
buse	b u s E
ikhutsa	i kh u ts> a
robala	r O b a l a
maikaelelo	m a i k> a E l E l O
ngogola	N O x O l a
ngaparetsa	N a p> a r E ts> a
bobe	b O b E
bokete	b O k> E t> E
mmoifa	m m O i f a
pampitshana	p> a m p> i tsh a n a
khaontara	kh a O n t> a r a
dibetsa	d i b E ts> a
bokgoni	b O kx O n i
kantorong	k> a n t> O r O N
bapatsang	b a p> a ts> a N
tlhaloganyega	tlh a l O x a J E x a
kutso	k> u ts> O
thunyo	th u J O
thwalo	th w a l O
dipogiso	d i p> O x i s O
nkutlwe	n k> u tl> w E
lefela	l E f E l a
dithulaganyong	d i th u l a x a J O N
konosetswa	k> O n O s E ts> w a
ntšha	n tSh a
thata	th a t> a
itebaganya	i t> E b a x a J a
tiragatsong	t> i r a x a ts> O N
tshobotsi	tsh O b O ts> i
lokolotswe	l O k> O l O ts> w E
dula	d u l a
tsepamisitsweng	ts> E p> a m i s i ts> w E N
itshekileng	i tsh E k> i l E N
dikhibidu	d i kh i b i d u
feteng	f E t> E N
thadiso	th a d i s O
palamisa	p> a l a m i s a
lefetwa	l E f E t> w a
tsona	ts> O n a
ditlhopho	d i tlh O ph O
ikaeletswe	i k> a E l E ts> w E
lebete	l E b E t> E
gwantela	x w a n t> E l a
matlakaleng	m a tl> a k> a l E N
bakwadi	b a k> w a d i
betshong	b E tsh O N
bogogelo	b O x O x E l O
lere	l E r E
dipurugwana	d i p> u r u x w a n a
itsisitse	i ts> i s i ts> E
letlelesege	l E tl> E l E s E x E
lotlolola	l O tl> O l O l a
dikanego	d i k> a n E x O
tshube	tsh u b E
dikhuduego	d i kh u d u E x O
lalediwa	l a l E d i w a
ntshetswa	n tsh E ts> w a
dipoloko	d i p> O l O k> O
fokotsegile	f O k> O ts> E x i l E
rebolweng	r E b O l w E N
kgathalela	kx a th a l E l a
poraemasetofo	p> O r a E m a s E t> O f O
ikadileng	i k> a d i l E N
tlotlo	tl> O tl> O
phulong	ph u l O N
matlhano	m a tlh a n O
tswetswe	ts> w E ts> w E
malebang	m a l E b a N
tlhalosang	tlh a l O s a N
rarabologa	r a r a b O l O x a
tswetse	ts> w E ts> E
direge	d i r E x E
dithini	d i th i n i
dirwang	d i r w a N
dibolai	d i b O l a i
mmitsa	m m i ts> a
kgalema	kx a l E m a
tshola	tsh O l a
serati	s E r a t> i
gaisiwa	x a i s i w a
emisiwa	E m i s i w a
ratisa	r a t> i s a
mpalela	m p> a l E l a
rakanang	r a k> a n a N
diferwaneng	d i f E r w a n E N
rwesitsweng	r w E s i ts> w E N
setlaela	s E tl> a E l a
ineetse	i n E E ts> E
tumalelano	t> u m a l E l a n O
sedikeng	s E d i k> E N
diponagalo	d i p> O n a x a l O
itirela	i t> i r E l a
kgonagaleng	kx O n a x a l E N
ikutswa	i k> u ts> w a
searolo	s E a r O l O
buisitseng	b u i s i ts> E N
ditsamaisong	d i ts> a m a i s O N
runtseng	r u n ts> E N
iponna	i p> O n n a
itlametse	i tl> a m E ts> E
botswapelo	b O ts> w a p> E l O
saenneng	s a E n n E N
batliwang	b a tl> i w a N
diropeng	d i r O p> E N
etse	E ts> E
thanye	th a J E
bontshe	b O n tsh E
sefe	s E f E
obene	O b E n E
raporoto	r a p> O r O t> O
boikarabelong	b O i k> a r a b E l O N
dikgwageng	d i kx w a x E N
tshokile	tsh O k> i l E
modirelaloago	m O d i r E l a l O a x O
maitiso	m a i t> i s O
lekanyeditswe	l E k> a J E d i ts> w E
utsweditswe	u ts> w E d i ts> w E
dilotlolo	d i l O tl> O l O
nyorilwe	J O r i l w E
ipiletso	i p> i l E ts> O
pelego	p> E l E x O
tlhaolelwang	tlh a O l E l w a N
fedisiwe	f E d i s i w E
tlogetseng	tl> O x E ts> E N
kopakopanang	k> O p> a k> O p> a n a N
bosigo	b O s i x O
ngwaneng	N w a n E N
budusa	b u d u s a
femeng	f E m E N
epile	E p> i l E
letlhafula	l E tlh a f u l a
itsisiweng	i ts> i s i w E N
lekelela	l E k> E l E l a
mmuisa	m m u i s a
tlile	tl> i l E
solofeditsweng	s O l O f E d i ts> w E N
tlaleletso	tl> a l E l E ts> O
mosetsanyana	m O s E ts> a J a n a
emelwang	E m E l w a N
kgotlelege	kx O tl> E l E x E
matlong	m a tl> O N
dipegelong	d i p> E x E l O N
dibukatshedimosetso	d i b u k> a tsh E d i m O s E ts> O
ditiro	d i t> i r O
tshameketseng	tsh a m E k> E ts> E N
netefatso	n E t> E f a ts> O
molatswana	m O l a ts> w a n a
gogoropela	x O x O r O p> E l a
ntshia	n tsh i a
tlaleletswa	tl> a l E l E ts> w a
seako	s E a k> O
ipitsa	i p> i ts> a
phuthi	ph u th i
moranoledi	m O r a n O l E d i
gapeletswa	x a p> E l E ts> w a
tshwaraganngwa	tsh w a r a x a n N w a
akgolelwa	a kx O l E l w a
tlhaeletsa	tlh a E l E ts> a
moikani	m O i k> a n i
diteng	d i t> E N
basadi	b a s a d i
lootsa	l O O ts> a
tshwenyego	tsh w E J E x O
phofo	ph O f O
kgannye	kx a n J E
ditemogo	d i t> E m O x O
tshwarega	tsh w a r E x a
megodu	m E x O d u
siamisa	s i a m i s a
gompieno	x O m p> i E n O
nyadisa	J a d i s a
amusa	a m u s a
legodimo	l E x O d i m O
tekanyetsokabo	t> E k> a J E ts> O k> a b O
lenathwana	l E n a th w a n a
motantsho	m O t> a n tsh O
mosaekholoji	m O s a E kh O l O d0Z i
sutisiwang	s u t> i s i w a N
rente	r E n t> E
nongonanongona	n O N O n a n O N O n a
ditshwao	d i tsh w a O
madirelo	m a d i r E l O
boamogelong	b O a m O x E l O N
opelwang	O p> E l w a N
nkisa	n k> i s a
mmega	m m E x a
dikarolothuto	d i k> a r O l O th u t> O
tlamelesegang	tl> a m E l E s E x a N
meetlong	m E E tl> O N
duelang	d u E l a N
entiwa	E n t> i w a
mokgele	m O kx E l E
tswakanngwang	ts> w a k> a n N w a N
diphosong	d i ph O s O N
tshegetswa	tsh E x E ts> w a
letlhoo	l E tlh O O
begwang	b E x w a N
tlhware	tlh w a r E
bomorwae	b O m O r w a E
letso	l E ts> O
dirisega	d i r i s E x a
thola	th O l a
kgaisano	kx a i s a n O
boutsana	b O u ts> a n a
bakaulengwe	b a k> a u l E N w E
lemotsha	l E m O tsh a
sola	s O l a
molebo	m O l E b O
phaphaselela	ph a ph a s E l E l a
dieding	d i E d i N
tshamekileng	tsh a m E k> i l E N
maekorosekopo	m a E k> O r O s E k> O p> O
phuthegang	ph u th E x a N
agang	a x a N
moago	m O a x O
maribelong	m a r i b E l O N
dilekano	d i l E k> a n O
tlama	tl> a m a
duletswe	d u l E ts> w E
taelo	t> a E l O
dikwalelo	d i k> w a l E l O
tiiso	t> i i s O
legetleng	l E x E tl> E N
kgatiso	kx a t> i s O
phimolakeledi	ph i m O l a k> E l E d i
tlhamegile	tlh a m E x i l E
itsisitsweng	i ts> i s i ts> w E N
ikoketse	i k> O k> E ts> E
atelang	a t> E l a N
boimanyana	b O i m a J a n a
dithebolelo	d i th E b O l E l O
ahee	a h E E
tseleganya	ts> E l E x a J a
ditshotlo	d i tsh O tl> O
tiisa	t> i i s a
dikhopi	d i kh O p> i
kgobokana	kx O b O k> a n a
tsamaisitsweng	ts> a m a i s i ts> w E N
ithaope	i th a O p> E
lekwalotshupo	l E k> w a l O tsh u p> O
tlolo	tl> O l O
kgonegang	kx O n E x a N
dipuo	d i p> u O
moemakgatlhanong	m O E m a kx a tlh a n O N
thubegileng	th u b E x i l E N
leletswe	l E l E ts> w E
motlotlegi	m O tl> O tl> E x i
tlhomile	tlh O m i l E
marara	m a r a r a
atlarelang	a tl> a r E l a N
morutisi	m O r u t> i s i
fosang	f O s a N
dirakaka	d i r a k> a k> a
nana	n a n a
legonyana	l E x O J a n a
anama	a n a m a
tlhalositseng	tlh a l O s i ts> E N
supetsang	s u p> E ts> a N
akanyediwang	a k> a J E d i w a N
ditšhelete	d i tSh E l E t> E
khomese	kh O m E s E
ame	a m E
modirong	m O d i r O N
tshwaela	tsh w a E l a
kere	k> E r E
tlhotsweng	tlh O ts> w E N
itlhatlhobeng	i tlh a tlh O b E N
poroteine	p> O r O t> E i n E
gokaganeng	x O k> a x a n E N
ngotle	N O tl> E
ditiragalo	d i t> i r a x a l O
dijeke	d i d0Z E k> E
gopotse	x O p> O ts> E
ntlhabele	n tlh a b E l E
rona	r O n a
dikatlegong	d i k> a tl> E x O N
dikgalemo	d i kx a l E m O
motlhape	m O tlh a p> E
tlhamo	tlh a m O
tswaleleng	ts> w a l E l E N
tlhape	tlh a p> E
kope	k> O p> E
kopang	k> O p> a N
kgomotso	kx O m O ts> O
ikaletsa	i k> a l E ts> a
dithwe	d i th w E
diroring	d i r O r i N
khunwana	kh u n w a n a
tobekano	t> O b E k> a n O
ineelo	i n E E l O
legatong	l E x a t> O N
tlhomelwa	tlh O m E l w a
rwadiwang	r w a d i w a N
dinkgamonate	d i n kx a m O n a t> E
kokomoga	k> O k> O m O x a
solofetsweng	s O l O f E ts> w E N
ditšhupu	d i tSh u p> u
ikepetse	i k> E p> E ts> E
isitswe	i s i ts> w E
ntsifadiwa	n ts> i f a d i w a
rwala	r w a l a
digile	d i x i l E
gatelele	x a t> E l E l E
nthomileng	n th O m i l E N
tekanyo	t> E k> a J O
tebelo	t> E b E l O
kgotsong	kx O ts> O N
mabakanyana	m a b a k> a J a n a
tsenye	ts> E J E
bantsi	b a n ts> i
tlhagiseditse	tlh a x i s E d i ts> E
fetiswang	f E t> i s w a N
kgaratlhela	kx a r a tlh E l a
fofela	f O f E l a
lese	l E s E
tshekotshenyo	tsh E k> O tsh E J O
moono	m O O n O
tshologela	tsh O l O x E l a
segopa	s E x O p> a
websaete	w E b a E t> E
moša	m O S a
nitamisa	n i t> a m i s a
rraabona	r r a b O n a
polaano	p> O l a n O
dibaga	d i b a x a
thoba	th O b a
konopa	k> O n O p> a
ntshetsa	n tsh E ts> a
angwang	a N w a N
borra	b O r r a
fitlhelwa	f i tlh E l w a
mogodu	m O x O d u
titielo	t> i t> i E l O
gorego	x O r E x O
pateleditswe	p> a t> E l E d i ts> w E
ditlelaemeteng	d i tl> E l a E m E t> E N
mmoleletse	m m O l E l E ts> E
dikuane	d i k> u a n E
monnawe	m O n n a w E
lebisitse	l E b i s i ts> E
dikotlolo	d i k> O tl> O l O
kgolegelong	kx O l E x E l O N
mesweng	m E s w E N
phanyega	ph a J E x a
saenseng	s a E n s E N
mekgatlhong	m E kx a tlh O N
ngamotse	N a m O ts> E
tsenyeng	ts> E J E N
utlwatsa	u tl> w a ts> a
ikemisa	i k> E m i s a
belegeng	b E l E x E N
fapha	f a ph a
tankeng	t> a n k> E N
lobadi	l O b a d i
mefameng	m E f a m E N
ditlhakakgolo	d i tlh a k> a kx O l O
baakangwang	b a k> a N w a N
koloni	k> O l O n i
dipeeletsong	d i p> E E l E ts> O N
matshwafo	m a tsh w a f O
letsholong	l E tsh O l O N
lepele	l E p> E l E
diakhaonte	d i a kh a O n t> E
leruo	l E r u O
phetogong	ph E t> O x O N
amileng	a m i l E N
tshegisang	tsh E x i s a N
tshupetsong	tsh u p> E ts> O N
mokgothi	m O kx O th i
moleele	m O l E E l E
bolokesegang	b O l O k> E s E x a N
nyenyefatsong	J E J E f a ts> O N
nyatse	J a ts> E
mpipela	m p> i p> E l a
ebu	E b u
bosupa	b O s u p> a
kgabaganyang	kx a b a x a J a N
kgweetso	kx w E E ts> O
ditlhoko	d i tlh O k> O
tlhokafalang	tlh O k> a f a l a N
itshupa	i tsh u p> a
nthaya	n th a j a
maitseo	m a i ts> E O
batswantle	b a ts> w a n tl> E
kutlwisisano	k> u tl> w i s i s a n O
nonotshwa	n O n O tsh w a
kotlhao	k> O tlh a O
medikong	m E d i k> O N
arotswe	a r O ts> w E
thalotlhakore	th a l O tlh a k> O r E
ditlhapi	d i tlh a p> i
hemiwa	h E m i w a
runwang	r u n w a N
lebe	l E b E
bobodu	b O b O d u
nepagetseng	n E p> a x E ts> E N
gakgamadiwe	x a kx a m a d i w E
bolelane	b O l E l a n E
philo	ph i l O
seotli	s E O tl> i
mmu	m m u
bogolwane	b O x O l w a n E
goelediwa	x O E l E d i w a
sulafalelwa	s u l a f a l E l w a
botswerere	b O ts> w E r E r E
fokoletsa	f O k> O l E ts> a
lebetse	l E b E ts> E
katologa	k> a t> O l O x a
baphasalatsi	b a ph a s a l a ts> i
tlhatsa	tlh a ts> a
tlhano	tlh a n O
lelekiwa	l E l E k> i w a
mmegadikgang	m m E x a d i kx a N
pheleletso	ph E l E l E ts> O
lenane	l E n a n E
ditokafatsong	d i t> O k> a f a ts> O N
ganwe	x a n w E
rutege	r u t> E x E
boithatelo	b O i th a t> E l O
thatafetseng	th a t> a f E ts> E N
atisang	a t> i s a N
kgaolwe	kx a O l w E
terese	t> E r E s E
tshwanno	tsh w a n n O
kopileng	k> O p> i l E N
boyona	b O j O n a
matlha	m a tlh a
atereseng	a t> E r E s E N
kobiwa	k> O b i w a
tlhagisetswa	tlh a x i s E ts> w a
moitseanape	m O i ts> E a n a p> E
tladitse	tl> a d i ts> E
bokibo	b O k> i b O
ntilola	n t> i l O l a
motlholagadi	m O tlh O l a x a d i
terapa	t> E r a p> a
magogwe	m a x O x w E
tshugong	tsh u x O N
sephimodi	s E ph i m O d i
itshetletseng	i tsh E tl> E ts> E N
mebala	m E b a l a
theleso	th E l E s O
tsitsibanyang	ts> i ts> i b a J a N
ntena	n t> E n a
lebisitsweng	l E b i s i ts> w E N
diga	d i x a
karogano	k> a r O x a n O
lomagane	l O m a x a n E
ikanyegong	i k> a J E x O N
nelang	n E l a N
phakela	ph a k> E l a
dibukakgakololo	d i b u k> a kx a k> O l O l O
mola	m O l a
mmeleng	m m E l E N
monkgo	m O n kx O
ipolelele	i p> O l E l E l E
sekasekwang	s E k> a s E k> w a N
lemilweng	l E m i l w E N
sete	s E t> E
diphatlhaneng	d i ph a tlh a n E N
letseno	l E ts> E n O
tlhabelwa	tlh a b E l w a
eteletseng	E t> E l E ts> E N
tselaneng	ts> E l a n E N
moaparo	m O a p> a r O
tema	t> E m a
kgoma	kx O m a
mafelobonno	m a f E l O b O n n O
meditse	m E d i ts> E
mekgwaro	m E kx w a r O
buseditse	b u s E d i ts> E
bagokgo	b a x O kx O
nagagodimong	n a x a x O d i m O N
ditheipi	d i th E i p> i
timpetseng	t> i m p> E ts> E N
paledisa	p> a l E d i s a
nnana	n n a n a
ditlatlana	d i tl> a tl> a n a
maboteng	m a b O t> E N
bomadimabe	b O m a d i m a b E
diriseng	d i r i s E N
nthusang	n th u s a N
motsietsi	m O ts> i E ts> i
tlhokomelang	tlh O k> O m E l a N
manegiwang	m a n E x i w a N
nageng	n a x E N
kganano	kx a n a n O
mampodi	m a m p> O d i
setho	s E th O
fisiwa	f i s i w a
porofaeleng	p> O r O f a E l E N
botlhatswetso	b O tlh a ts> w E ts> O
tshwenyegang	tsh w E J E x a N
kgathalele	kx a th a l E l E
gokeletsweng	x O k> E l E ts> w E N
setlogolo	s E tl> O x O l O
rafiwa	r a f i w a
bagakolodi	b a x a k> O l O d i
lebaganwe	l E b a x a n w E
itlhomileng	i tlh O m i l E N
tsamaisanya	ts> a m a i s a J a
lehibidu	l E h i b i d u
ribololeng	r i b O l O l E N
tlhakaina	tlh a k> a i n a
ikagela	i k> a x E l a
kgomarediwa	kx O m a r E d i w a
faretsweng	f a r E ts> w E N
botlhoka	b O tlh O k> a
modirisani	m O d i r i s a n i
tshireletso	tsh i r E l E ts> O
tsalweng	ts> a l w E N
batlege	b a tl> E x E
disang	d i s a N
bora	b O r a
itshela	i tsh E l a
selotlele	s E l O tl> E l E
fileng	f i l E N
swabisa	s w a b i s a
nyeleditswe	J E l E d i ts> w E
batlisiwang	b a tl> i s i w a N
katisitswe	k> a t> i s i ts> w E
kgonwa	kx O n w a
pholosi	ph O l O s i
ketekile	k> E t> E k> i l E
sweditse	s w E d i ts> E
setifikeiting	s E t> i f i k> E i t> i N
letela	l E t> E l a
gabola	x a b O l a
nanoga	n a n O x a
bonontlhotlho	b O n O n tlh O tlh O
dinotsididi	d i n O ts> i d i d i
tetlelelo	t> E tl> E l E l O
molemeng	m O l E m E N
farologana	f a r O l O x a n a
solegela	s O l E x E l a
tlhobaetsa	tlh O b a E ts> a
bahumagadi	b a h u m a x a d i
mankge	m a n kx E
sutu	s u t> u
jaleng	d0Z a l E N
ditlhangwa	d i tlh a N w a
fadiwa	f a d i w a
tlhotseng	tlh O ts> E N
dipula	d i p> u l a
babopi	b a b O p> i
gakatsang	x a k> a ts> a N
boruteging	b O r u t> E x i N
gakgamatse	x a kx a m a ts> E
ditlhaeletsanong	d i tlh a E l E ts> a n O N
mmaago	m m a x O
beeletseng	b E E l E ts> E N
kalafong	k> a l a f O N
boitlhophelo	b O i tlh O ph E l O
feletsweng	f E l E ts> w E N
maitshwaro	m a i tsh w a r O
tshwanelo	tsh w a n E l O
hiriwa	h i r i w a
lotletswe	l O tl> E ts> w E
paletswe	p> a l E ts> w E
folouru	f O l O u r u
maphelo	m a ph E l O
ikwadiseditseng	i k> w a d i s E d i ts> E N
kgaolo	kx a O l O
tlileng	tl> i l E N
momo	m O m O
anametse	a n a m E ts> E
rebotse	r E b O ts> E
dithota	d i th O t> a
tlhotlhomiso	tlh O tlh O m i s O
manaane	m a n a a n E
tshegwe	tsh E x w E
itlhoboga	i tlh O b O x a
phailwa	ph a i l w a
tshetlha	tsh E tlh a
nyetse	J E ts> E
sentshamosi	s E n tsh a m O s i
utlwisisa	u tl> w i s i s a
phokojwe	ph O k> O d0Z w E
mogasi	m O x a s i
tlhoafetseng	tlh O a f E ts> E N
ileng	i l E N
diboto	d i b O t> O
tladike	tl> a d i k> E
sekgomaretsi	s E kx O m a r E ts> i
nne	n n E
tlhomolang	tlh O m O l a N
gatele	x a t> E l E
tlhakanele	tlh a k> a n E l E
nnwa	n n w a
letilwe	l E t> i l w E
romilweng	r O m i l w E N
bokgobeng	b O kx O b E N
ntshung	n tsh u N
mathule	m a th u l E
ditirelong	d i t> i r E l O N
phanyegileng	ph a J E x i l E N
tšhakgalo	tSh a kx a l O
tsamaisitse	ts> a m a i s i ts> E
mokopi	m O k> O p> i
dirakanya	d i r a k> a J a
sitlholola	s i tlh O l O l a
moketekete	m O k> E t> E k> E t> E
bommatsale	b O m m a ts> a l E
tlisitsweng	tl> i s i ts> w E N
tlhontseng	tlh O n ts> E N
phaphamisa	ph a ph a m i s a
khutlonne	kh u tl> O n n E
balelwa	b a l E l w a
kwenneng	k> w E n n E N
baakanyega	b a k> a J E x a
bofaganeng	b O f a x a n E N
mekima	m E k> i m a
bonelwa	b O n E l w a
difilimi	d i f i l i m i
ditlhakore	d i tlh a k> O r E
siama	s i a m a
fitlhelelwa	f i tlh E l E l w a
bolailweng	b O l a i l w E N
boitshepo	b O i tsh E p> O
opafaditsweng	O p> a f a d i ts> w E N
tlaya	tl> a j a
sita	s i t> a
ripoto	r i p> O t> O
maphatsiphatsing	m a ph a ts> i ph a ts> i N
tlhomamisiwa	tlh O m a m i s i w a
segwagwa	s E x w a x w a
tsielega	ts> i E l E x a
bileng	b i l E N
rraabone	r r a b O n E
begiwang	b E x i w a N
dikerafong	d i k> E r a f O N
dipeelong	d i p> E E l O N
palong	p> a l O N
bothating	b O th a t> i N
tlametseng	tl> a m E ts> E N
batsayakarolo	b a ts> a j a k> a r O l O
nong	n O N
tlotlontswe	tl> O tl> O n ts> w E
fudusediwa	f u d u s E d i w a
kgokaganyong	kx O k> a x a J O N
kolota	k> O l O t> a
pateletsege	p> a t> E l E ts> E x E
tsialala	ts> i a l a l a
botagwa	b O t> a x w a
ditirisong	d i t> i r i s O N
khutlile	kh u tl> i l E
sethwe	s E th w E
dipitso	d i p> i ts> O
liki	l i k> i
tlhapa	tlh a p> a
molapong	m O l a p> O N
kgotlelelo	kx O tl> E l E l O
thadisitsweng	th a d i s i ts> w E N
ketefala	k> E t> E f a l a
mmopong	m m O p> O N
terena	t> E r E n a
