&	and
BBBEE	Broad Based Black Economic Empowerment
BBSDP	Black Business Supplier Development Programme
BCE	Basic Conditions of Employment
BCMM	Buffalo City Metropolitan Municipality
BCOCC	Border Control Operational Coordinating Committee
BE	Business Executive
BEC	Bid Evaluation Committee
BEE	Black Economic Empowerment
BEPP	Built Environment Performance Plan
BFE	Branch Front End
BIF	Bulk Infrastructure Fund
BIG	Basic Income Grant
BIS	Bank for International Settlements
BISA	Banking Insurance and Securities Association
BLM	Bushbuckridge Local Municipality
BMA	Border Management Agency
BMAU	Budget Monitoring and Accountability Unit
BME	Benefit Medical Examination
BMM	Black Mountain Mine
BNG	Breaking New Ground
BOCMA	Breede Overberg Catchment Management Agency
BPOA	Brussels Programme of Action
BPR	Business Process Review
BPRC	Business Process Review Committee
BRICS	Brazil Russia China South Africa formation
BRR	Budget Review and Recommendation
BRR	Budgetary Review and Recommendation
BRRR	Budget Review and Recommendation Report
BRRR	Budgetary Review and Recommendation Report
BRRRs	Budget Review and Recommendation Reports
BRRRs	Budgetary Review and Recommendation Reports
BRT	Bus Rapid Transit
BRT	Bus Rapid Transit System
BS	Beneficiary Services
BSA	Boxing South Africa
BSC	Balance Score Card
BTech	Bachelor of Technology
BUSA	Business Unity South Africa
BWP	Berg Water Project
B_BBEE	Broad Base Black Economic Empowerment
BoQs	Bills of Quantities
C-BRTA	Cross Border Road Transport Agency
C-BRTA	Cross Border Transport Agency
CA	Chattered Accountant
CAA	Civil Aviation Authority
CAFCOM	Consumer Affairs Committee
CALMIS	Computerised Aided Logistical Management Information System
CALUSA	Cala University Students Association
CAPEX	Capital Expenditure
CAPPP	Constitutional Assembly Public Participation Programme
CAPRISA	Centre for the AIDS Program of Research in South Africa
CAPS	Curriculum Assessment Policy Statement
CAPS	Curriculum and Assessment Policy Statement
CAR	Central African Republic
CAS	Central Application Service
CASP	Comprehensive Agricultural Support Programme
CAT	Computer Aided Technology
CBC	Christian Brothers College
CBD	Central Business District
CBD	Convention on Biological Diversity
CBE	Council for the Built Environment
CBMT	Competency Based Modular Training
CBNRM	Community Based Natural Resources Management
CBO's	Community Based Organisations
CBOs	Community Based Organisations
CBP	Community Based Participation
CBRTA	Cross Border Road Transport Agency
CC	Competition Commission
CCB	Castle Control Board
CCBG	Committee of Central Bank Governors
CCC	Committee on Climate Change
CCC	Compliance Committee
CCF	Contractor Consultative Forum
CCMA	Conciliation Mediation and Arbitration
CCMA's	Conciliation Mediation and Arbitration's
CCOD	Commissioner for Occupational Diseases
CCTV	Circuit Television
CCTV	Closed Circuit Television
CD	Chief Director
CDA	Central Drug Administration
CDA	Central Drug Authority
CDA	Christian Democratic Alliance
CDC	Coega Development Corporation
CDF	Comprehensive Development Framework
CDM	Case Document Management
CDM	Clean Development Mechanism
CDP	Community Development Practitioner
CDPs	Community Development Practitioners
CDS	Career Development System
CEDAW	Convention for the Elimination of All Forms of Discrimination Against Women
CEF	Central Energy Fund
CEM	Council of Education Ministers
CENARD	Centro Nacional De Alto Rendimiento Deportivo
CEO	Chief Executive Officer
CEOs	Chief Executive Officers
CEPA	Canadian Environmental Protection Act
CER	Comprehensive Expenditure Review
CES	Chief Education Specialist
CESs	Chief Education Specialists
CET	Common External Tariff
CF	Compensation Fund
CFH	Coaching for Hope
CFM	Case flow management
CFO	Chief Financial Officer
CFO's	Chief Financial Officers
CFOs	Chief Financial Officers
CFT	Combating of Financing of Terrorism
CGE	Commission for Gender Equality
CGL	Corporate Governance Law
CGP	Consolidated Government Paper
CGS	Council for Geoscience
CGS	Council for Geosciences
CHC	Community Health Care Centres
CHCs	Community Health Centres
CHE	Council On Higher Education
CHP	Combined Heat and Power
CIBD	Construction Industry Board
CID	Criminal Investigation Department
CIDA	Canadian International Development Agency
CIDB	Construction Industry Development Board
CIE	Catholic Institute of Education
CIO	Chief Information Officer
CIP	Commercially Important Person
CIPRO	Companies Intellectual Property Registration Office in South Africa
CIPRO	Companies and Intellectual Property Registration Office
CIS	Collective Investment Scheme
CIS	Cooperative Incentive Schemes
CIT	Corporate Income Tax
CJS	Criminal Justice System
CLARA	Communal Land Rights Act
CLCC	Chief Land Claims Commissioner
CLM	Capricorn Local Municipality
CM	Contracts Manager
CMA	Comrades Marathon Association
CMAs	Catchment Management Agencies
CMC	Case Management Committee
CMCs	Case Management Committees
CMF	Contractor Management Forum
CMGE	Centre for Multigrade Education
CMM	Capability Maturity Model
CMS	Council for Medical Schemes
CN	Construction North
CND	Commission on Narcotic Drugs
CODELCO	Corporacion Nacional del Cobre de Chile
COE	Compensation of Employees
COGTA	Cooperative Governance and Traditional Affairs
COIDA	Compensation for Occupational Injuries and Diseases Act
COJ	City of Johannesburg
COLP	Commissioned Officers Learning Programme
COMESA	Common Market for Eastern and Southern Africa
COMTASK	Task Group on Government Communications
CONSAS	Constellation of South African States
COO	Chief Operations Officer
COPE	Congress of the People
COPE	The Congress of the People 
COSATU	Congress of South African Trade Unions
COSO	Committee of Sponsoring Organisations
COST	Construction Sector Transparency Initiative
CPA	Commonwealth Parliamentary Association
CPA	Communal Property Association
CPA	Community Property Association
CPAs	Communal Property Associations
CPAs	Community Property associations
CPF	Community Police Force
CPF	Community Police Forum
CPFSP	Community Project Fund Support Programme
CPFs	Community Police Forums
CPI	Communal Property Institute
CPI	Consumer Price Index
CPIX	Consumer Price Inflation
CPIX	Consumer Price Inflation Index
CPIX	Inflation
CPIs	Communal Property Institutes
CPO	Chief Procurement Office
CPP	Coastal Public Property
CPR	Child Protection Register
CPS	Child Protection Services
CPSI	Centre of Public Service Innovation
CPUT	Cape Peninsula University of Technology
CPV	Concentrator Photovoltaic
CRAI	Citizenship Rights Africa Initiative
CRDP	Community Rural Development Programme
CRDP	Comprehensive Rural Development Programme
CRLR	Commission on Restitution of Land Rights
CRM	Customer Relationship Management
CRM	Customer Relationship Manager
CRO	Chief Risk Officer
CRO	Community Resource Organisation
CRU	Community Residential Unit
CRU's	Community Residential Units
CRUs	Community Residential Units
CS	Conventional Selection
CSA	Correctional Services Act
CSAP	Civil Society Advocacy Programme
CSC	Community Service Centre
CSDP	Competitive Supplier Development Programme
CSEC	Commercial Sexual Exploitation of Children
CSF	Community Safety Forum
CSFs	Community Safety Forums
CSG	Child Support Grant
CSI	Corporate Social Investment
CSIR	Council for Scientific and Industrial Research
CSMBS	Civil Servant Medical Benefit Scheme
CSO	Civil Society Organisation
CSO	Client Service Officer
CSO's	Client Service Officers
CSOs	Civil Society Organisations
CSP	Concentrated Solar Power
CSP	Correctional Sentence Plans
CSPB	Correctional Supervision and Parole Board
CSPBs	Correctional Supervision and Parole Boards
CSRCs	Campus Student Representative Councils
CSVR	Centre for the Study of Violence and Reconciliation
CT	Competition Tribunal
CTBT	Comprehensive Nuclear Test Ban Treaty
CTC	Colliery Training College
CTE	Commuter Transport Engineering
CTICC	Cape Town International Convention Centre
CTOP	Choice of Termination of Pregnancy
CTOP	Choice on Termination of Pregnancy
CUPP	Community University Partnership Programme
CUT	Central Unitaria De Trabajadores De Chile
CUT	Central University of Technology
CV	Curriculum Vitae
CVET	Community Video Education Trust
CVs	Curriculum Vitaes
CWP	Community Works Programme
CYCC	Child and Youth Care Centre
Cantv	Compania Anonima Nacional Telefonos de Venezuela
Cipro	Company and Intellectual Property Rights Organisation
CoC	Centre of Competence
CoCs	Centres of Competence
CoE	Centre of Excellence
CoGTA	Cooperative Governance and Traditional Affairs
CoGTA	Cooperative Governance and Traditional Leaders
CoS	Councils of Stakeholders
CoT	City of Tshwane
CoT	City of Tshwane Metropolitan Municipality
Cogta	Cooperative Governance and Traditional Affairs
Cope	Congress of the People
Cope	The Congress of the People 
CorMSA	Consortium for Refugees and Migrants in South Africa
Cput	Cape Peninsula University of Technology
Cut	Central Unitaria de Trabajadores de Chile
DAC	Department of Arts and Culture
DAEIC	District Assessment and Examination Irregularity Committee
DAG	Deputy Auditor General
DARD	Department of Agriculture and Rural Development
DARDLA	Department of Agriculture Rural Development and Land Administration
DBCM	De Beers Consolidated Mines Limited
DBE	Department of Basic Education 
DBSA	Development Bank South Africa
DBSA	Development Bank of South Africa
DBSA	Development Bank of Southern Africa
DBSP	Digital Beneficiary Services Platform
DCES	Deputy Chief Education Specialist
DCESs	Deputy Chief Education Specialists
DCS	Department of Correctional Services
DCST	District Clinical Specialist Team
DCSTs	District Clinical Specialist Teams
DCT	Durban Container Terminal
DCoG	Department of Cooperative Governance
DD	Deputy Director
DDG	Deputy Director General
DDG's	Deputy Director Generals
DDGs	Deputy Director Generals
DDP	Durban Dig Out Port
DEA	Department of Environmental Affairs
DEAT	Department of Environmental Affairs
DEAT	Department of Environmental Affairs and Tourism
DERI	Defence Evaluation and Research Institute
DEVTI	Development Facilitation Training Institute
DEXCO	Departmental Executive Committee
DFI	Development Finance Institution
DFIs	Development Finance Institutions
DG	Director General
DGB	Deustcher Gewerkschafts Bund
DHA	Department of Home Affairs
DHET	Department of Higher Education and Training
DHS	District Health System
DI	Defence Intelligence
DIMS	Directorate Integrated Management Systems
DIP	Defence Industrial Participation
DIRCO	Department of International Relations and Cooperation
DLA	Department of Land Affairs
DLCA	Driving License Card Account
DM	District Municipalitie
DME	Department of Minerals and Energy
DMR	Department of Mineral Resources
DMs	District Municipalities
DNA	Deoxyribonucleic Acid
DOD	Department of Defence
DOE	Department of Education
DOE	Department of Energy
DOR	Division of Revenue
DORA	Division of Revenue Act
DOT	Department of Transport
DOTS	Deeds Office Tracking System
DPCI	Directorate of Priority Crime Investigations
DPE	Department of Public Enterprises
DPLG	Department of Provincial and Local government
DPMC	District Poverty Monitoring Committees
DPME	Department of Performance Monitoring and Evaluation
DPO	Designated Police Officer
DPSA	Department of Public Service and Administration
DPSA	Department of Public Services and Administration
DPW	Department of Public Works
DRC	Democratic Republic of Congo
DRC	Democratic Republic of the Congo
DRDLR	Department of Rural Development and Land Reform
DRPW	Department of Roads and Public Works
DSA	Denel Saab Aerostructures
DSD	Department of Social Development
DSG	Development Support Group
DSPD	Division for Social Policy and Development
DST	Department of Science and Technology
DTI	Department of Trade and Industry
DTPS	Department of Telecommunications and Postal Services
DTT	Digital Terrestrial Television
DTT	Digital Terrestrial Transition
DUT	Durban University of Technology
DVA	Domestic Violence Act
DWA	Department of Water Affairs
DWAF	Department of Water Affairs
DWAF	Department of Water Affairs and Forestry
DWEA	Department of Water and Environmental Affairs
DfID	Department for International Development
DoBE	Department of Basic Education
DoC	Department of Communications
DoDMV	Department of Defence and Military Veterans
DoE	Department of Education
DoE	Department of Energy
DoH	Department of Health
DoHET	Department of Higher Education and Training
DoJ&CD	Department of Justice and Constitutional Development
DoL	Department of Labour
DoPW	Department of Public Works
DoR	Division of Revenue
DoRA	Division of Revenue Act
DoRDLR	Department of Rural Development and Land Reform
DoS	Deed of Settlement
DoS	Deeds of Settlement
Dr	Doctor
Dr	Drive
EAC	East Africa Community
EAC	East African Community
EAC	Equitable Access Campaign
EAP	Employee Assistance Programme
EAPS	Environmental Authorisation Professional Standards
EC	Eastern Cape
EC	Electoral Commission
EC	European Commission
ECA	Electronic Communications Act
ECD	Early Childhood Development
ECDE	Eastern Cape Department of Education
ECF	Executive Consultative Forum
ECM	Enterprise Content Management
ECOSOC	Economic and Social Council
ECOSOC	United Nations Economic and Social Council
ECOWAS	Economic Organisation of West Africa States
ECPED	Eastern Cape Provincial Education Department
ECS	Electronic Community Services
ECSA	Engineering Council of South Africa
ECSECC	Economic Consultative Council
EDD	Economic Development Department
EDH	Energy Distribution Holdings
EDI	Electricity Distribution Industry
EDIH	Electricity Distribution Industry Holdings
EDL	Essential Drugs List
EDO	Education Development Officer
EDOs	Education Development Officers
EDP	Extended Degree Programme
EDP's	Extended Degree Programmes
EE	Employment Equity
EEC	Employment Equity Committee
EEP	Environment Partnership
EEZ	Exclusive Economic Zone
EFF	Economic Freedom Fighters
EFMS	Education Facilities Management System
EHP	Emergency Housing Project
EIA	Energy Information Administration
EIA	Environmental Impact Assessment
EIAs	Environmental Impact Assessments
EIC	Enterprise Information Centres
EIG	Education Infrastructure Grant
EIM	Environmental Impact Management
EIP	Enterprise Investment Programme
EIUG	Energy Intensive User Group
EIUG	Energy Intensive User Group of Southern Africa
ELRC	Education Labour Relations Council
ELRC	Education and Labour Relations Council
ELSN	Education for Learners with Special Needs
EMCS	Enhanced Movement Control System
EME	Exempted Micro Enterprise
EMEs	Exempted Micro Enterprises
EMF	Environmental Management Framework
EMFs	Environmental Management Frameworks
EMS	Emergency Medical Services
ENAMI	Empresa Nacional de Mineria
ENE	Estimates of National Expenditure
EOT	Extensions of time
EPA	Economic Partnership Agreement
EPAs	Economic Partnership Agreements
EPFMS	Electronic Performance Management System
EPWP	Expanded Public Work Programme
EPWP	Expanded Public Works Programme
EQP	Environmental Quality and Protection
ERB	Economic Regulatory Bodie
ERBs	Economic Regulatory Bodies
ERM	Employee Relations Management
ERM	Enterprise Risk Management
ERP	Enterprise Resource Planning
ERP	Enterprise Resource Planning System
ESA	European Space Agency
ESAAMLG	Eastern and Southern Africa Anti Money Laundering Group
ESETA	Energy Sector Education and Training Authority
ESS	Earth Systems Science
ESSA	Employment Services South Africa
ETA	Exercise Training Academy
ETDP	Education and Training Development Practices
ETEYA	Entrepreneur of the Year Award
ETQA	Education and Training Qualification Authority
ETQA	Education and Training Quality Assurance
ETQAs	Education and Training Qualifications Authorities
EU	European Union
EVD	Ebola Virus Disease
EWSETA	Energy and Water Sector Education and Training Authority
EXCO	Executive Committee
Exco	Executive Committee
FABCOS	Foundation for Africa Business and Consumer Services
FAEC	Farmed Abalone Export Council
FAL	First Additional Language
FAMSA	Family and Marriage Association of South Africa
FAO	Financial Aid Office
FAO	Food and Agriculture Organisation
FAOs	Financial Aid Offices
FAS	Foetal Alcohol Syndrome
FATF	Financial Action Task Force
FAWU	Food and Allied Workers Union
FBE	Free Basic Electricity
FBO	Faith Based Organisation
FBOs	Faith Based Organisations
FBW	Free Basic Water
FCA	Firearms Control Act
FCB	Firearms Control Bill
FD	Federation of Democrats
FDC	Fixed Dose Combination
FDI	Foreign Direct Investment
FEDUSA	Federation of Trade Unions of South Africa
FEDUSA	Federation of Unions of South Africa
FES	First Education Specialist
FES	Friedrich Ebert Stiftung Foundation
FESs	First Education Specialists
FET	Further Education and Training
FET	Further Education and Training College
FETC	Further Education and Training College
FETCs	Further Education And Training Colleges
FETs	Further Education and Training Colleges
FF	Freedom Front
FFC	Financial Fiscal Commission
FFC	Financial and Fiscal Commission
FFO	Federation of Organisations of Disabled People
FHR	Foundation for Human Rights
FIC	Financial Intelligence Centre
FICAT	Forest Industry Carbon Assessment Tool
FIFA	Federation of International Football Association
FIPSA	Forum of Immigration Practitioners of South Africa
FIT	Facility Improvement Teams
FIT	Feed In Tariff
FIs	Financial Intermediaries
FLISP	Finance Linked Individual Subsidy Programme
FLS	Frontline States
FMD	Foot and Mouth Disease
FMPPI	Framework for Managing Programme Performance Information
FMS	Financial Management System
FNB	First National Bank
FOCUS-SA	Friends of Cuba Society of South Africa
FOG	Fall of Ground
FOSAD	Forum of South African Directors General
FPB	Film and Publication Board
FPB	Film and Publications Board
FSAR	Food Security and Agrarian Reform
FSB	Financial Service Board
FSB	Financial Services Board
FSC	Financial Sector Cooperative
FSCC	Fields Chamber of Commerce
FSCs	Financial Services Cooperatives
FSD	Frontline Service Delivery
FSDM	Frontline Service Delivery Monitoring
FSDM	Frontline Service Delivery Monitoring Programme
FSED	Free State Education Department
FTA	Free Trade Area
FTC	Federation of Copper Workers
FTE	Full Term Equivalent
FTO	Field Training Officer
FTOs	Field Training Officers
FTRM	Full Time Regulator Member
FTRMs	Full Time Regulator Members
FX	Foreign Exchange
Fedup	Federation for Urban and the Poor
Forex	Foreign Exchange
GAAP	Generally Accepted Accounting Practice
GAAP	Generally Accepted Accounting Practices
GAP	Gender Advocacy Programme
GBC	General Bargaining Council
GBM	Gold Bearing Material
GBV	Gender Based Violence
GCH	gross crane moves per hour
GCIS	Government Communication and Information Service
GCIS	Government Communication and Information System
GDP	Gross Domestic Product
GDP	Growth Domestic Product
GEAR	Growth Employment and Redistribution
GEC	Governor Executive Committee
GEMS	Government Employees Medical Aid Scheme
GEPF	Government Employees Pension Fund
GER	Gross Enrolment Rate
GERD	Gross Expenditure on Research and Development
GFIP	Gauteng Freeway Improvement Project
GFSA	Gun Free South Africa
GFZ	Gun Free Zone
GHG	Greenhouse Gas
GI	Geographical Indication
GIAMA	Government Immovable Asset Management Act
GIS	Geographic Information Systems
GIS	Geographical Information System
GM	General Manager
GMP	Good Manufacturing Practice
GNC	Gauteng Nerve Centre
GNI	Gross National Income
GNP	Gross National Product
GPAA	Government Pensions Administration Agency
GPS	Global Positioning System
GPSBC	General Public Services Sectoral Bargaining Council
GPW	Government Printing Works
GRAP	General Recognised Accounting Practice
GRAP	Generally Recognised Accounting Practice
GRAP	Generally Required Accounting Practices
GRAP	Government Regulated Accounting Practices
GRP	Glass Reinforced Pipe
GRP's	Glass Reinforced Pipes
GS	Genomic Selection
GSB	General Service Base
GSSA	Geological Society of South Africa
GSTP	Global System of Trade Preferences
GTL	Gas to Transportation Fuels
GWME	Government Wide Monitoring and Evaluation
H&W	Health and Welfare
HAART	Highly Active Antiretroviral Therapy
HAT	Harmonised Assessment Tool
HC	Human Capital
HCBC	Home Community Based Care
HCC	Heads of Correctional Centres
HCD	Human Capital Development
HCM	Human Capital Management
HD	Historically Disadvantaged
HDA	Housing Development Agency
HDRG	Housing Disaster Relief Grant
HDSA	Historically Disadvantaged South Africans
HDSIS	Housing Development Sector Involvement Strategy
HEDCOM	Heads of Education Committee
HEDCOM	Heads of Education Departments Committee
HEI	Higher Education Institutions
HEI's	Higher Education Institutions
HEIs	Higher Education Institutions
HEMIS	Higher Education Management Information System
HENLEA	Heads of National Law Enforcement Agency
HEQC	Higher Education Qualifications Committee
HEQF	Higher Education Qualifications Framework
HESA	Higher Education South Africa
HFRG	Health Facility Revitalisation Grant
HIPC	Heavily Indebted Poor Countries
HIV	Human Immunodeficiency Virus
HLEG	High Level Expert Group
HMO	Hermanus Magnetic Observatory
HOD	Head of Department
HOD	Head of Provincial Department
HOD	Head of the Department
HOD	Heads of Departments
HOD	Heads of Division
HODs	Head of Departments
HODs	Heads of Departments
HPC	Human Papillomavirus Vaccine
HPCSA	Health Professionals Council of South Africa
HPV	Human Papillomavirus
HR	Human Resource
HR	Human Resources
HRC	Human Rights Committee
HRD	Human Resource Development
HRD	Human Resources Development
HRDC	Human Resource Development Council
HRDSA	Human Resource Development Strategy South Africa
HRM	Human Resources Management
HSD	Heads of Social Development
HSDG	Human Settlement Development Grant
HSDG	Human Settlements Development Grant
HSDS	Heads of Social Development Sector
HSRC	Human Science Research Council
HSRC	Human Science Resource Council
HSRC	Human Sciences Research Council
HSS	Housing Subsidy System
HSS	Human Subsidy System
HiPRO	Hi Recovery Precipitating Reverse Osmosis
HoC	Head of Communication
HoD	Heads of Department
HoHC	Head of Human Capital
I	One
IACA	International Anti Corruption Academy
IAD	Internal Audit Department
IAEA	International Atomic Energy Agency
IAF	Internal Audit Function
IAF	International Astronautical Federation
IAS	International Accounting Standards
IASC	International Air Service Council
IASC	International Air Services Council
IAT	Institutes of Advanced Tooling
IAWB	Interactive White Board
IBA	Independent Broadcasting Authority
IBC	International Broadcasting Centre
IBRA	Independent Regulatory Board for Auditors
IBSA	India Brazil South Africa
IBSA	India Brazil South Africa forum
IBT	Innovative Building Technologies
IBT	Integrated Bus Transit
ICASA	Independent Communication Authority of South Africa
ICASA	Independent Communications Authority of South Africa
ICASS	Internal Continuous Assessment
ICBL	International Campaign to Ban Landmines
ICC	International Chamber of Commerce
ICC	International Convention Centre
ICCV	Independent Correctional Centre Visitors
ICD	Independent Complaints Directorate
ICD	Investigative Complaints Directorate
ICDM	Intergrated Chronic Disease Management
ICMA	Inkomati Catchment Management Agency
ICP-MS	Inductively Coupled Plasma Mass Spectrometry
ICRC	International Committee of Red Cross
ICT	Information Communication Technology
ICT	Information Communication and Technology
ICT	Information Computer Technology
ICT	Information and Communication Technology
ICT	Information and Communications Technology
ICT	International Telecommunications Technology
ICTs	Information Communications Technologies
ICTs	Information and Communication Technologies
ICU	Intensive Care Unit
ID	Identity Document
ID	Independent Democrats
IDASA	Institute for Democracy in South Africa
IDB	Independent Development Board
IDC	Industrial Development Corporation
IDCs	Industrial Development Corporations
IDEA	Institute for Democracy and Electoral Assistance
IDIP	Infrastructure Delivery Improvement Programme
IDP	Industrial Development Plan
IDP	Integrated Development Plan
IDP	Integrated Development Planning
IDP	Integrated Development Plans
IDPs	Integrated Development Plans
IDT	Independent Development Trust
IDZ	Industrial Development Zone
IDZs	Industrial Development Zones
IDs	Identity Documents
IEA	International Energy Agency
IEC	Independent Election Commission
IEC	Independent Electoral Commission
IEC	Integrated Energy Centre
IECS	Integrated Examination Computer System
IEDP	International Education and Development Programme
IES	Inspection and Employment Services
IES	Inspection and Enforcement Services
IES	Inspectorate and Enforcement Services
IFAC	International Federation of Accountants
IFM	Integrated Financial Management System
IFMS	Integrated Financial Management System
IFMS	Integrated Financial Management Systems
IFP	Inkatha Freedom Party
IFRS	International Financial Reporting Standard
IFRS	International Financial Reporting Standards
IGFR	Intergovernmental Fiscal Relations
IGR	Intergovernmental Relations
II	Two
IIED	Institute on Environment and Development
III	Three
IISL	Institute of Space Law
IITT	Investigation Task Team
IIWSP	Interim Water Supply Programme
IIWSP	Intermediate Water Supply Programme
IJS	Integrated Justice System
IJS	Integrated Justice System Programme
IJSP	Integrated Justice Services Programme
IJSP	Integrated Justice System Programme
IKS	Indigenous Knowledge Systems
ILAC	International Laboratory Accreditation Cooperation
ILC	International Labour Conference
ILO	International Labour Organisation
ILSFU	Ilizwi Lamafama Small Farmers Union
ILST	Institutional Level Support Team
IM	Information Management
IMC	Inter Ministerial Committee
IMC	International Marketing Council
IMF	International Monetary Fund
IMP	Integrated Management Plan
INCOSAI	International Conference of Supreme Audit Institutions
INDFSC	Interim National Defence Force Service Commission
INEP	Integrated National Electrification Programme
INTERFRONT	International Frontier Technologies
INTOSAI	International Organisation of Supreme Audit Institution
INTOSAI	International Organisation of Supreme Audit Institutions
INTOSAI	International Organisations of Supreme Audit Institution
IO	Investigating Officer
IOD	Injury on Duty
IOM	International Organisation on Migration
IOP	Institutional Operating Plan
IP	Intellectual Property
IP	Intermediate Pressure
IPAP	Industrial Policy Action Plan
IPC	Infrastructure Planning Commission
IPID	Independent Police Investigative Directorate
IPP	Independent Power Producer
IPP	Independent Power Producers
IPP's	Independent Power Producers
IPPs	Independent Power Producers
IPSASB	International Public Sector Accounting Standard Board
IPTNs	Integrated Public Transport Networks
IPU	Inter Parliamentary Union
IPoA	Istanbul Programme of Action
IQ	Image Quality
IQMS	Integrated Quality Management System
IRBA	Independent Regulatory Board for Auditors
IRBA	Independent Regulatory Board of Auditors
IRC	Institutional Residence Committee
IRP	Integrated Resource Plan
IRPTN	Integrated Rapid Public Transport Network
IRPTNs	Integrated Rapid Public Transport Networks
ISA	International Standards of Auditing
ISACA	Information Systems Audit and Control Association
ISAMS	Integrated Schools and Management System
ISAT	Integrated Summative Assessment Task
ISDSC	Inter State Defence and Security Committee
ISES	International Space Environment Service
ISMO	Independent Electricity System and Market Operator
ISMO	Independent System Operator
ISMO	Independent System and Market Operator
ISO	International Standard Organisation
ISO	International Standards of Operation
ISOE	Institutions of Sectoral or Occupational Excellence
ISP	Information Society Programme
ISP	Internet Service Provider
ISSA	International Social Security Association
ISU	International Space University
IT	Information Technology
