can't	k> a n t>
ahlaahlwe	a K a a K w E
ahlama	a K a m a
ahlame	a K a m E
ahlamego	a K a m E G O
ahlamile	a K a m i l E
ahlamišitšwe	a K a m i S i tS> w E
ahlola	a K O l a
ahlolago	a K O l a G O
ahlole	a K O l E
ahlolela	a K O l E l a
ahlolelwe	a K O l E l w E
ahloletšwego	a K O l E tS> w E G O
ahlolwa	a K O l w a
ahlolwago	a K O l w a G O
ahlolwe	a K O l w E
ahlotšwe	a K O tS> w E
ahlotšwego	a K O tS> w E G O
ahlwaahlwa	a K w a a K w a
aka	a k> a
akademiki	a k> a l` E m i k> i
akalala	a k> a l a l a
akaletšego	a k> a l E tS> E G O
akantše	a k> a n tS> E
akantšego	a k> a n tS> E G O
akantšwe	a k> a n tS> w E
akantšwego	a k> a n tS> w E G O
akanya	a k> a J a
akanyago	a k> a J a G O
akanye	a k> a J E
akanyeditše	a k> a J E l` i tS> E
akanyeditšwe	a k> a J E l` i tS> w E
akanyetša	a k> a J E tS> a
akanyetšago	a k> a J E tS> a G O
akanyetšwago	a k> a J E tS> w a G O
akanywa	a k> a J w a
akanywago	a k> a J w a G O
akanywe	a k> a J w E
akareditše	a k> a r E l` i tS> E
akareditšego	a k> a r E l` i tS> E G O
akareditšwe	a k> a r E l` i tS> w E
akareditšwego	a k> a r E l` i tS> w E G O
akaretša	a k> a r E tS> a
akaretšago	a k> a r E tS> a G O
akaretšang	a k> a r E tS> a N
akaretše	a k> a r E tS> E
akaretšego	a k> a r E tS> E G O
akaretšeng	a k> a r E tS> E N
akaretšwa	a k> a r E tS> w a
akaretšwago	a k> a r E tS> w a G O
akaretšwe	a k> a r E tS> w E
akaretšwego	a k> a r E tS> w E G O
akela	a k> E l a
aketša	a k> E tS> a
aketšago	a k> E tS> a G O
akga	a kx a
akgofa	a kx O f a
akgofago	a kx O f a G O
akgofela	a kx O f E l a
akgofiša	a kx O f i S a
akgofiše	a kx O f i S E
akhwi	a kh w i
akola	a k> O l a
ala	a l a
alafa	a l a f a
alafago	a l a f a G O
alafe	a l a f E
alafega	a l a f E G a
alafegago	a l a f E G a G O
alafege	a l a f E G E
alafegego	a l a f E G E G O
alafela	a l a f E l a
alafile	a l a f i l E
alafilego	a l a f i l E G O
alafilwe	a l a f i l w E
alafilwego	a l a f i l w E G O
alafišwa	a l a f i S w a
alafiwa	a l a f i w a
alafša	a l a p\S a
alafše	a l a p\S E
alago	a l a G O
alamela	a l a m E l a
alegilego	a l E G i l E G O
alego	a l E G O
alela	a l E l a
alele	a l E l E
aleng	a l E N
alfabete	a l f a B E t> E
aloga	a l O G a
alogago	a l O G a G O
aloge	a l O G E
alogile	a l O G i l E
alogilego	a l O G i l E G O
aloša	a l O S a
aluminiamo	a l u m i n i a m O
alwa	a l w a
alwago	a l w a G O
alwe	a l w E
ama	a m a
amago	a m a G O
amana	a m a n a
amanago	a m a n a G O
amane	a m a n E
amanego	a m a n E G O
amantšha	a m a n tSh a
amantšhago	a m a n tSh a G O
amantšhwa	a m a n tSh w a
amantšhwago	a m a n tSh w a G O
amantšhwe	a m a n tSh w E
amantšwe	a m a n tS> w E
amantšwego	a m a n tS> w E G O
amanya	a m a J a
amanyago	a m a J a G O
amanye	a m a J E
amanywa	a m a J w a
amanywe	a m a J w E
ame	a m E
amega	a m E G a
amegago	a m E G a G O
amegego	a m E G E G O
amegile	a m E G i l E
amegilego	a m E G i l E G O
amego	a m E G O
amilego	a m i l E G O
amilwe	a m i l w E
amilwego	a m i l w E G O
amoga	a m O G a
amoge	a m O G E
amogela	a m O G E l a
amogelago	a m O G E l a G O
amogelang	a m O G E l a N
amogele	a m O G E l E
amogelega	a m O G E l E G a
amogelegago	a m O G E l E G a G O
amogelege	a m O G E l E G E
amogelegego	a m O G E l E G E G O
amogelegile	a m O G E l E G i l E
amogelegilego	a m O G E l E G i l E G O
amogelego	a m O G E l E G O
amogeleng	a m O G E l E N
amogelwa	a m O G E l w a
amogelwago	a m O G E l w a G O
amogelwe	a m O G E l w E
amogelwego	a m O G E l w E G O
amogetšana	a m O G E tS> a n a
amogetše	a m O G E tS> E
amogetšego	a m O G E tS> E G O
amogetšwa	a m O G E tS> w a
amogetšwe	a m O G E tS> w E
amogetšwego	a m O G E tS> w E G O
amogile	a m O G i l E
amogilwe	a m O G i l w E
amogilwego	a m O G i l w E G O
amogilweng	a m O G i l w E N
amogwa	a m O G w a
amogwe	a m O G w E
amologanya	a m O l O G a J a
amuša	a m u S a
ana	a n a
anega	a n E G a
anegago	a n E G a G O
anegela	a n E G E l a
anegelwa	a n E G E l w a
anegwa	a n E G w a
anegwago	a n E G w a G O
angwa	a N w a
angwago	a N w a G O
angwe	a N w E
anke	a n k> E
anthe	a n th E
antšha	a n tSh a
antšwe	a n tS> w E
anya	a J a
anywa	a J w a
ao	a O
aowa	a O w a
aowi	a O w i
aowii	a O w i i
apara	a p> a r a
aparago	a p> a r a G O
apare	a p> a r E
aparego	a p> a r E G O
aparela	a p> a r E l a
aparelago	a p> a r E l a G O
aparelwa	a p> a r E l w a
aparetše	a p> a r E tS> E
aparetšego	a p> a r E tS> E G O
aparetšwe	a p> a r E tS> w E
aparetšwego	a p> a r E tS> w E G O
aparwa	a p> a r w a
aparwago	a p> a r w a G O
apea	a p> E a
apeela	a p> E E l a
apeile	a p> E i l E
apeilwe	a p> E i l w E
apeilwego	a p> E i l w E G O
apere	a p> E r E
aperego	a p> E r E G O
aperwego	a p> E r w E G O
apeša	a p> E S a
apešago	a p> E S a G O
apeše	a p> E S E
apešitšwego	a p> E S i tS> w E G O
apešwa	a p> E S w a
apewa	a p> E w a
apewago	a p> E w a G O
apewe	a p> E w E
apišana	a p> i S a n a
apogetšwe	a p> O G E tS> w E
apola	a p> O l a
apolwa	a p> O l w a
araba	a r a B a
arabago	a r a B a G O
arabe	a r a B E
arabela	a r a B E l a
arabelago	a r a B E l a G O
arabele	a r a B E l E
arabelwago	a r a B E l w a G O
arabile	a r a B i l E
arabilego	a r a B i l E G O
arabilwe	a r a B i l w E
arabišana	a r a B i S a n a
arabiwa	a r a B i w a
arabja	a r a BZ a
arabjago	a r a BZ a G O
aretse	a r E ts> E
arogana	a r O G a n a
aroganago	a r O G a n a G O
arogane	a r O G a n E
aroganego	a r O G a n E G O
arogantšha	a r O G a n tSh a
arogantšhwa	a r O G a n tSh w a
arogantšwe	a r O G a n tS> w E
arogantšwego	a r O G a n tS> w E G O
aroganya	a r O G a J a
aroganyago	a r O G a J a G O
aroganye	a r O G a J E
aroganywa	a r O G a J w a
aroganywago	a r O G a J w a G O
aroganywe	a r O G a J w E
aroganywego	a r O G a J w E G O
arogilego	a r O G i l E G O
arola	a r O l a
arolago	a r O l a G O
arolelana	a r O l E l a n a
arolelwa	a r O l E l w a
aroletšwe	a r O l E tS> w E
arolwa	a r O l w a
arolwago	a r O l w a G O
arolwe	a r O l w E
aroša	a r O S a
arotšwe	a r O tS> w E
arotšwego	a r O tS> w E G O
ase	a s E
asma	a s m a
ata	a t> a
atafala	a t> a f a l a
atha	a th a
athile	a th i l E
atile	a t> i l E
atilego	a t> i l E G O
atiša	a t> i S a
atišago	a t> i S a G O
atišwa	a t> i S w a
atla	a tl> a
atlana	a tl> a n a
atle	a tl> E
atlega	a tl> E G a
atlegago	a tl> E G a G O
atlege	a tl> E G E
atlegego	a tl> E G E G O
atlegeng	a tl> E G E N
atlegile	a tl> E G i l E
atlegilego	a tl> E G i l E G O
atleng	a tl> E N
atrese	a t> r E s E
atreseng	a t> r E s E N
baabi	B a a B i
baadimi	B a a l` i m i
baagelani	B a a G E l a n i
baagi	B a a G i
baagišani	B a a G i S a n i
baahlodi	B a a K O l` i
baamogedi	B a a m O G E l` i
baanegi	B a a n E G i
baanegwa	B a a n E G w a
baapei	B a a p> E i
ba	B a
baba	B a B a
babadi	B a B a l` i
babalela	B a B a l E l a
babalelago	B a B a l E l a G O
babalele	B a B a l E l E
babalelwa	B a B a l E l w a
babapadi	B a B a p> a l` i
babapatši	B a B a p> a tS> i
babaso	B a B a s O
babeakanyi	B a B E a k> a J i
babedi	B a B E l` i
babeeletši	B a B E E l E tS> i
babegaditaba	B a B E G a l` i t> a B a
babegedi	B a B E G E l` i
babegi	B a B E G i
babelaelwa	B a B E l a E l w a
babetli	B a B E tl> i
babinahlagahlagane	B a B i n a K a G a K a G a n E
babinatau	B a B i n a t> a u
babinatlou	B a B i n a tl> O u
babini	B a B i n i
babja	B a BZ a
babjago	B a BZ a G O
babje	B a BZ E
babo	B a B O
babogedi	B a B O G E l` i
babolai	B a B O l a i
baboledi	B a B O l E l` i
baboleledi	B a B O l E l E l` i
baboloki	B a B O l O k> i
babouti	B a B O u t> i
babuši	B a B u S i
badiidi	B a l` i i l` i
badiitšana	B a l` i i tS> a n a
badika	B a l` i k> a
badikana	B a l` i k> a n a
badile	B a l` i l E
badilego	B a l` i l E G O
badilwe	B a l` i l w E
badilwego	B a l` i l w E G O
badimo	B a l` i m O
badimong	B a l` i m O N
badiragatši	B a l` i r a G a tS> i
badirammogo	B a l` i r a m m O G O
badiredi	B a l` i r E l` i
badireding	B a l` i r E l` i N
badirelaleago	B a l` i r E l a l E a G O
badirelwa	B a l` i r E l w a
badiri	B a l` i r i
badirišani	B a l` i r i S a n i
badirišanimmogo	B a l` i r i S a n i m m O G O
badiriši	B a l` i r i S i
badiša	B a l` i S a
badišana	B a l` i S a n a
badiši	B a l` i S i
badišiša	B a l` i S i S a
badišiše	B a l` i S i S E
badišišwa	B a l` i S i S w a
baditi	B a l` i t> i
baditšhaba	B a l` i tSh a B a
badudi	B a l` u l` i
baduding	B a l` u l` i N
badulasetulo	B a l` u l a s E t> u l O
badumedi	B a l` u m E l` i
baeletši	B a E l E tS> i
baemedi	B a E m E l` i
baemeding	B a E m E l` i N
baeng	B a E N
baetapele	B a E t> a p> E l E
baetapeleng	B a E t> a p> E l E N
baetena	B a E t> E n a
baeti	B a E t> i
bafahloši	B a f a K O S i
bafaladi	B a f a l a l` i
bafalaledi	B a f a l a l E l` i
bafe	B a f E
bafelegetši	B a f E l E G E tS> i
bafenyi	B a f E J i
bafepi	B a f E p> i
bafepša	B a f E pS> a
bafeti	B a f E t> i
bafetodi	B a f E t> O l` i
bafetoledi	B a f E t> O l E l` i
bafi	B a f i
bafsa	B a p\s a
bafseng	B a p\s E N
bafudi	B a f u l` i
bagadikane	B a G a l` i k> a n E
bagaditšong	B a G a l` i tS> O N
bagale	B a G a l E
baganetši	B a G a n E tS> i
bagaši	B a G a S i
bagateledi	B a G a t> E l E l` i
bagatiši	B a G a t> i S i
bagatša	B a G a tS> a
bageno	B a G E n O
bagešo	B a G E S O
bagešong	B a G E S O N
bago	B a G O
bagobatšwa	B a G O B a tS> w a
bagolegwa	B a G O l E G w a
bagolo	B a G O l O
bagologolo	B a G O l O G O l O
bagolwane	B a G O l w a n E
bagononelwa	B a G O n O n E l w a
bagweba	B a G w E B a
bagwebi	B a G w E B i
bagwebišani	B a G w E B i S a n i
bagwera	B a G w E r a
bagwerra	B a G w E r r a
bahiri	B a h\ i r i
bahlabani	B a K a B a n i
bahlabolli	B a K a B O l l i
bahlahli	B a K a K i
bahlahlobi	B a K a K O B i
bahlaki	B a K a k> i
bahlakodi	B a K a k> O l` i
bahlami	B a K a m i
bahlanka	B a K a n k> a
bahlankedi	B a K a n k> E l` i
bahlano	B a K a n O
bahlapetšatsela	B a K a p> E tS> a ts> E l a
bahlapetši	B a K a p> E tS> i
bahlasedi	B a K a s E l` i
bahlatholli	B a K a th O l l i
bahlodi	B a K O l` i
bahloki	B a K O k> i
bahlokofatšwa	B a K O k> O f a tS> w a
bahlokomedi	B a K O k> O m E l` i
bahlolo	B a K O l O
bahlologadi	B a K O l O G a l` i
bahlomphegi	B a K O m ph E G i
bahlwekiši	B a K w E k> i S i
baholegi	B a h\ O l E G i
bahu	B a h\ u
bahumagadi	B a h\ u m a G a l` i
bahumanegi	B a h\ u m a n E G i
bahumi	B a h\ u m i
bahwelatumelo	B a h\ w E l a t> u m E l O
baimana	B a i m a n a
baingwadiši	B a i N w a l` i S i
baipei	B a i p> E i
baisa	B a i s a
baithaopi	B a i th a O p> i
baithuiti	B a i th u i t> i
baithuti	B a i th u t> i
bajabohwa	B a d0Z a B O h\ w a
bajalefa	B a d0Z a l E f a
baji	B a d0Z i
baka	B a k> a
bakae	B a k> a E
bakago	B a k> a G O
bakang	B a k> a N
bakaone	B a k> a O n E
bakego	B a k> E G O
bakela	B a k> E l a
bakeng	B a k> E N
bakgabiši	B a kx a B i S i
bakgaga	B a kx a G a
bakgalabje	B a kx a l a BZ E
bakgathatema	B a kx a th a t> E m a
bakgekolo	B a kx E k> O l O
bakgethi	B a kx E th i
bakgethwa	B a kx E th w a
bakgoboketši	B a kx O B O k> E tS> i
bakgoma	B a kx O m a
bakgomana	B a kx O m a n a
bakgopedi	B a kx O p> E l` i
bakgotse	B a kx O ts> E
bakhwi	B a kh w i
baki	B a k> i
bakile	B a k> i l E
bakilego	B a k> i l E G O
bakilwe	B a k> i l w E
bakilwego	B a k> i l w E G O
bakiša	B a k> i S a
bakišana	B a k> i S a n a
bakišwa	B a k> i S w a
bakwa	B a k> w a
bakwago	B a k> w a G O
bakwani	B a k> w a n i
bakwešwabohloko	B a k> w E S w a B O K O k> O
bala	B a l a
balabala	B a l a B a l a
balago	B a l a G O
balaki	B a l a k> i
balaodi	B a l a O l` i
balaoding	B a l a O l` i N
balata	B a l a t> a
balatedi	B a l a t> E l` i
balatofatšwa	B a l a t> O f a tS> w a
balebeledi	B a l E B E l E l` i
baledi	B a l E l` i
balefi	B a l E f i
balega	B a l E G a
balegago	B a l E G a G O
balege	B a l E G E
balegego	B a l E G E G O
balekani	B a l E k> a n i
balekanyetši	B a l E k> a J E tS> i
balekodi	B a l E k> O l` i
balekwa	B a l E k> w a
balela	B a l E l a
balele	B a l E l E
balelwa	B a l E l w a
balelwago	B a l E l w a G O
balelwe	B a l E l w E
balemi	B a l E m i
balemiši	B a l E m i S i
baleng	B a l E N
baletše	B a l E tS> E
baletšwe	B a l E tS> w E
baletšwego	B a l E tS> w E G O
baloi	B a l O i
baloti	B a l O t> i
balwa	B a l w a
balwago	B a l w a G O
balwe	B a l w E
balwelatokologo	B a l w E l a t> O k> O l O G O
balwetši	B a l w E tS> i
balwetšing	B a l w E tS> i N
balwi	B a l w i
bana	B a n a
banake	B a n a k> E
banamedi	B a n a m E l` i
baneng	B a n E N
banenyana	B a n E J a n a
bangwadi	B a N w a l` i
bangwading	B a N w a l` i N
bangwaledi	B a N w a l E l` i
bangwe	B a N w E
banna	B a n n a
banneng	B a n n E N
banolofatši	B a n O l O f a tS> i
bantši	B a n tS> i
bantšinyana	B a n tS> i J a n a
banwi	B a n w i
banyadi	B a J a l` i
banyadiwa	B a J a l` i w a
banyaki	B a J a k> i
banyakišiši	B a J a k> i S i S i
banyalani	B a J a l a n i
banyane	B a J a n E
bao	B a O
baokamedi	B a O k> a m E l` i
baoki	B a O k> i
baopedi	B a O p> E l` i
baotledi	B a O tl> E l` i
bapa	B a p> a
bapadiša	B a p> a l` i S a
bapala	B a p> a l a
bapalago	B a p> a l a G O
bapale	B a p> a l E
bapalega	B a p> a l E G a
bapalela	B a p> a l E l a
bapalelwa	B a p> a l E l w a
bapalwa	B a p> a l w a
bapalwago	B a p> a l w a G O
bapanego	B a p> a n E G O
bapantšha	B a p> a n tSh a
bapatša	B a p> a tS> a
bapatšago	B a p> a tS> a G O
bapatše	B a p> a tS> E
bapatšwa	B a p> a tS> w a
bapatšwago	B a p> a tS> w a G O
bapela	B a p> E l a
bapetša	B a p> E tS> a
bapetšago	B a p> E tS> a G O
bapetše	B a p> E tS> E
bapetšega	B a p> E tS> E G a
bapetšege	B a p> E tS> E G E
bapetšego	B a p> E tS> E G O
bapetšwa	B a p> E tS> w a
bapetšwago	B a p> E tS> w a G O
bapetšwe	B a p> E tS> w E
bapetšwego	B a p> E tS> w E G O
baphatlalatši	B a ph a tl> a l a tS> i
baphologi	B a ph O l O G i
baphološwa	B a ph O l O S w a
bapile	B a p> i l E
bapilego	B a p> i l E G O
bapiša	B a p> i S a
bapišwa	B a p> i S w a
bapišwago	B a p> i S w a G O
bapolelwe	B a p> O l E l w E
bapresidente	B a p> r E s i l` E n t> E
baradia	B a r a l` i a
baraloki	B a r a l O k> i
bararo	B a r a r O
baratani	B a r a t> a n i
baratho	B a r a th O
barati	B a r a t> i
baratwa	B a r a t> w a
bareadihlapi	B a r E a l` i K a p> i
barei	B a r E i
bareki	B a r E k> i
barekiši	B a r E k> i S i
barena	B a r E n a
baromelwa	B a r O m E l w a
baromiwa	B a r O m i w a
barongwa	B a r O N w a
barui	B a r u i
barulaganyi	B a r u l a G a J i
barutegi	B a r u t> E G i
baruti	B a r u t> i
barutiši	B a r u t> i S i
barutišigadi	B a r u t> i S i G a l` i
barutwana	B a r u t> w a n a
barwa	B a r w a
barwarre	B a r w a r r E
barwedi	B a r w E l` i
basadi	B a s a l` i
basading	B a s a l` i N
basekaseki	B a s E k> a s E k> i
basekiši	B a s E k> i S i
basekišwa	B a s E k> i S w a
bašele	B a S E l E
bašemane	B a S E m a n E
bašemaneng	B a S E m a n E N
bašemanyana	B a S E m a J a n a
basenyi	B a s E J i
basepedi	B a s E p> E l` i
basepediši	B a s E p> E l` i S i
basepelakadinao	B a s E p> E l a k> a l` i n a O
basepetši	B a s E p> E tS> i
basesi	B a s E s i
basetsana	B a s E ts> a n a
basetsanyana	B a s E ts> a J a n a
bašidi	B a S i l` i
bašimane	B a S i m a n E
bašireletši	B a S i r E l E tS> i
baso	B a s O
bašomammogo	B a S O m a m m O G O
bašomedi	B a S O m E l` i
bašomi	B a S O m i
bašomikabona	B a S O m i k> a B O n a
bašomimmogo	B a S O m i m m O G O
bašomišani	B a S O m i S a n i
bašomiši	B a S O m i S i
bašomišing	B a S O m i S i N
baswa	B a s w a
baswaramarapo	B a s w a r a m a r a p> O
baswari	B a s w a r i
baswariwa	B a s w a r i w a
baswarwa	B a s w a r w a
bata	B a t> a
batala	B a t> a l a
bataletše	B a t> a l E tS> E
batamela	B a t> a m E l a
batamelago	B a t> a m E l a G O
batamelana	B a t> a m E l a n a
batamelane	B a t> a m E l a n E
batamelanego	B a t> a m E l a n E G O
batamele	B a t> a m E l E
batametše	B a t> a m E tS> E
batametšego	B a t> a m E tS> E G O
batametšwa	B a t> a m E tS> w a
batelele	B a t> E l E l E
batheeletši	B a th E E l E tS> i
bathei	B a th E i
bathekgi	B a th E kx i
batho	B a th O
bathobatho	B a th O B a th O
bathomi	B a th O m i
bathong	B a th O N
bathopasefoka	B a th O p> a s E f O k> a
bathopi	B a th O p> i
bathuši	B a th u S i
bathwadi	B a th w a l` i
bathwalwa	B a th w a l w a
bathwana	B a th w a n a
batlaiši	B a tl> a i S i
batlanyi	B a tl> a J i
batlatšabadulasetulo	B a tl> a tS> a B a l` u l a s E t> u l O
batlatša	B a tl> a tS> a
batlatšamodulasetulo	B a tl> a tS> a m O l` u l a s E t> u l O
batlatšatona	B a tl> a tS> a t> O n a
batlatši	B a tl> a tS> i
batlogolo	B a tl> O G O l O
batšeakarolo	B a tS> E a k> a r O l O
batsebalegi	B a ts> E B a l E G i
batsebi	B a ts> E B i
batšei	B a tS> E i
batseta	B a ts> E t> a
batšhabi	B a tSh a B i
batšhošetši	B a tSh O S E tS> i
batšofadi	B a tS> O f a l` i
batšofe	B a tS> O f E
batsomi	B a ts> O m i
batswadi	B a ts> w a l` i
batswading	B a ts> w a l` i N
batswala	B a ts> w a l a
batšwantle	B a tS> w a n tl> E
batšwasehlabelo	B a tS> w a s E K a B E l O
batšweletši	B a tS> w E l E tS> i
bea	B E a
beago	B E a G O
beakantše	B E a k> a n tS> E
beakantšego	B E a k> a n tS> E G O
beakantšha	B E a k> a n tSh a
beakantšheditšwe	B E a k> a n tSh E l` i tS> w E
beakantšwe	B E a k> a n tS> w E
beakantšwego	B E a k> a n tS> w E G O
beakanya	B E a k> a J a
beakanyago	B E a k> a J a G O
beakanye	B E a k> a J E
beakanyeditše	B E a k> a J E l` i tS> E
beakanyeditšwe	B E a k> a J E l` i tS> w E
beakanyeditšwego	B E a k> a J E l` i tS> w E G O
beakanyetša	B E a k> a J E tS> a
beakanyetšago	B E a k> a J E tS> a G O
beakanyetšwa	B E a k> a J E tS> w a
beakanywa	B E a k> a J w a
beakanywago	B E a k> a J w a G O
beakanywe	B E a k> a J w E
beang	B E a N
beba	B E B a
bedilego	B E l` i l E G O
bediša	B E l` i S a
bediše	B E l` i S E
bedišitšwego	B E l` i S i tS> w E G O
bedišwa	B E l` i S w a
beego	B E E G O
beela	B E E l a
beelago	B E E l a G O
beelana	B E E l a n a
beele	B E E l E
beeleditše	B E E l E l` i tS> E
beeleditšego	B E E l E l` i tS> E G O
beeleditšwe	B E E l E l` i tS> w E
beeleditšwego	B E E l E l` i tS> w E G O
beeletša	B E E l E tS> a
beeletšago	B E E l E tS> a G O
beeletše	B E E l E tS> E
beeletšwa	B E E l E tS> w a
beelwa	B E E l w a
beelwago	B E E l w a G O
beelwe	B E E l w E
beeng	B E E N
beetše	B E E tS> E
beetšego	B E E tS> E G O
beetšwe	B E E tS> w E
beetšwego	B E E tS> w E G O
befa	B E f a
befediša	B E f E l` i S a
befedišago	B E f E l` i S a G O
befedišitšwe	B E f E l` i S i tS> w E
befedišitšwego	B E f E l` i S i tS> w E G O
befedišwa	B E f E l` i S w a
befeditšwe	B E f E l` i tS> w E
befela	B E f E l a
befelela	B E f E l E l a
befeletšwe	B E f E l E tS> w E
befelwa	B E f E l w a
befetšwe	B E f E tS> w E
befile	B E f i l E
befilego	B E f i l E G O
befiša	B E f i S a
befišwa	B E f i S w a
bega	B E G a
begago	B E G a G O
bege	B E G E
begela	B E G E l a
begelago	B E G E l a G O
begele	B E G E l E
begelwa	B E G E l w a
begetšwego	B E G E tS> w E G O
begile	B E G i l E
begilego	B E G i l E G O
begilwe	B E G i l w E
begilwego	B E G i l w E G O
bego	B E G O
begwa	B E G w a
begwago	B E G w a G O
begwe	B E G w E
beile	B E i l E
beilego	B E i l E G O
beilwe	B E i l w E
beilwego	B E i l w E G O
beilweng	B E i l w E N
beine	B E i n E
beiwa	B E i w a
beiwago	B E i w a G O
beka	B E k> a
beke	B E k> E
bekeng	B E k> E N
bekepedi	B E k> E p> E l` i
bekilwe	B E k> i l w E
bekiša	B E k> i S a
bela	B E l a
belaela	B E l a E l a
belaelago	B E l a E l a G O
belaele	B E l a E l E
belaelwa	B E l a E l w a
belaelwago	B E l a E l w a G O
belaetša	B E l a E tS> a
belaetšago	B E l a E tS> a G O
belaetše	B E l a E tS> E
belaetšego	B E l a E tS> E G O
belaetšwa	B E l a E tS> w a
belega	B E l E G a
belege	B E l E G E
belegela	B E l E G E l a
belegele	B E l E G E l E
belegelwa	B E l E G E l w a
belegetše	B E l E G E tS> E
belegetšwe	B E l E G E tS> w E
belegetšwego	B E l E G E tS> w E G O
belegilwe	B E l E G i l w E
belegiša	B E l E G i S a
belegwa	B E l E G w a
belegwago	B E l E G w a G O
belegwe	B E l E G w E
belegwego	B E l E G w E G O
beletša	B E l E tS> a
bene	B E n E
beng	B E N
bengdikarolo	B E N l` i k> a r O l O
bengmabu	B E N m a B u
bengmešomo	B E N m E S O m O
bengmošomo	B E N m O S O m O
beno	B E n O
benya	B E J a
beola	B E O l a
bera	B E r a
bereka	B E r E k> a
beša	B E S a
bešago	B E S a G O
beše	B E S E
bešitšwego	B E S i tS> w E G O
bešo	B E S O
bešwa	B E S w a
betha	B E th a
bethabetha	B E th a B E th a
bethana	B E th a n a
bethe	B E th E
bethile	B E th i l E
bethilego	B E th i l E G O
bethilwe	B E th i l w E
bethilwego	B E th i l w E G O
bethwa	B E th w a
bethwe	B E th w E
betla	B E tl> a
betlile	B E tl> i l E
betlilwe	B E tl> i l w E
betlilwego	B E tl> i l w E G O
betlwa	B E tl> w a
betša	B E tS> a
betše	B E tS> E
betši	B E tS> i
betšwa	B E tS> w a
betwa	B E t> w a
bewa	B E w a
bewago	B E w a G O
bewe	B E w E
beya	B E j a
biditše	B i l` i tS> E
biditšwe	B i l` i tS> w E
biditšwego	B i l` i tS> w E G O
bileditše	B i l E l` i tS> E
bileditšego	B i l E l` i tS> E G O
bileditšwego	B i l E l` i tS> w E G O
bilego	B i l E G O
bileng	B i l E N
biletša	B i l E tS> a
biletšang	B i l E tS> a N
biletšwa	B i l E tS> w a
bilione	B i l i O n E
biloga	B i l O G a
bilogile	B i l O G i l E
bina	B i n a
binabina	B i n a B i n a
binago	B i n a G O
binela	B i n E l a
bintšha	B i n tSh a
binwa	B i n w a
bipa	B i p> a
bipela	B i p> E l a
bipelwa	B i p> E l w a
bipetša	B i p> E tS> a
bipetšwe	B i p> E tS> w E
bitietšwego	B i t> i E tS> w E G O
bitša	B i tS> a
bitšago	B i tS> a G O
bitšana	B i tS> a n a
bitše	B i tS> E
bitšego	B i tS> E G O
bitšwa	B i tS> w a
