tsebe	ts> E b E
sengwaga	s E N w a x a
kgabagare	kx a b a x a r E
kgaitsadie	kx a i ts> a d i E
tlwaelo	tl> w a E l O
dumelwa	d u m E l w a
difitlholo	d i f i tlh O l O
tlhokafalelang	tlh O k> a f a l E l a N
tiisetsong	t> i i s E ts> O N
bakiwa	b a k> i w a
phunyegileng	ph u J E x i l E N
tlhapileng	tlh a p> i l E N
dumelanwa	d u m E l a n w a
apotse	a p> O ts> E
dišere	d i S E r E
batlhabani	b a tlh a b a n i
diphelelo	d i ph E l E l O
bofofu	b O f O f u
kwadiso	k> w a d i s O
tonatona	t> O n a t> O n a
bogotlhe	b O x O tlh E
leba	l E b a
gaisitse	x a i s i ts> E
legoleng	l E x O l E N
dinamaneng	d i n a m a n E N
tšhotlhatšhotlha	tSh O tlh a tSh O tlh a
gobea	x O b E a
itswela	i ts> w E l a
dulang	d u l a N
phokotsong	ph O k> O ts> O N
rwalwang	r w a l w a N
molebeledi	m O l E b E l E d i
iketletse	i k> E tl> E ts> E
lomepe	l O m E p> E
phasaladitswe	ph a s a l a d i ts> w E
diriwe	d i r i w E
mogolodi	m O x O l O d i
sentsi	s E n ts> i
maborogo	m a b O r O x O
mosotlegi	m O s O tl> E x i
polao	p> O l a O
teleletelele	t> E l E l E t> E l E l E
matsogong	m a ts> O x O N
diholong	d i h O l O N
dikantorong	d i k> a n t> O r O N
matlhale	m a tlh a l E
jotlhe	d0Z O tlh E
mongweng	m O N w E N
dikgakgamatso	d i kx a kx a m a ts> O
rothela	r O th E l a
pegong	p> E x O N
bolokeng	b O l O k> E N
babelegisi	b a b E l E x i s i
phegelwana	ph E x E l w a n a
lebogetse	l E b O x E ts> E
fetswang	f E ts> w a N
dirisetswang	d i r i s E ts> w a N
itlhopheleng	i tlh O ph E l E N
motlae	m O tl> a E
rukutlha	r u k> u tlh a
maetsi	m a E ts> i
methale	m E th a l E
gotele	x O t> E l E
lenyalo	l E J a l O
lebokosong	l E b O k> O s O N
tsia	ts> i a
gaeng	x a E N
namolo	n a m O l O
tsepametse	ts> E p> a m E ts> E
maipobolo	m a i p> O b O l O
mmakaditse	m m a k> a d i ts> E
dithulanong	d i th u l a n O N
adimisang	a d i m i s a N
segofaditswe	s E x O f a d i ts> w E
diranta	d i r a n t> a
itlhatswa	i tlh a ts> w a
nteletse	n t> E l E ts> E
mogobagoba	m O x O b a x O b a
tumallano	t> u m a l l a n O
emele	E m E l E
pontsho	p> O n tsh O
nala	n a l a
itirelwa	i t> i r E l w a
begetsweng	b E x E ts> w E N
etleediwe	E tl> E E d i w E
motsholamatlotlo	m O tsh O l a m a tl> O tl> O
malana	m a l a n a
akangwang	a k> a N w a N
masesane	m a s E s a n E
palameng	p> a l a m E N
tlhoriso	tlh O r i s O
lolapa	l O l a p> a
ithutang	i th u t> a N
metshamekong	m E tsh a m E k> O N
gakolotse	x a k> O l O ts> E
batlhatlhobing	b a tlh a tlh O b i N
rraagwe	r r a x w E
rutiwa	r u t> i w a
bokanakang	b O k> a n a k> a N
kgapetsakgapetsa	kx a p> E ts> a kx a p> E ts> a
kelo	k> E l O
setlhafetseng	s E tlh a f E ts> E N
khalentara	kh a l E n t> a r a
konotelela	k> O n O t> E l E l a
namola	n a m O l a
buisitse	b u i s i ts> E
leboneng	l E b O n E N
tlatsa	tl> a ts> a
jale	d0Z a l E
ganetsweng	x a n E ts> w E N
badiwa	b a d i w a
lekeleditswe	l E k> E l E d i ts> w E
lokologileng	l O k> O l O x i l E N
apeilweng	a p> E i l w E N
khurumediwa	kh u r u m E d i w a
dikgankhutshwe	d i kx a n kh u tsh w E
menagane	m E n a x a n E
boletswe	b O l E ts> w E
lekeišene	l E k> E i S E n E
letlheng	l E tlh E N
boratoropo	b O r a t> O r O p> O
sedimoseditsweng	s E d i m O s E d i ts> w E N
twatsi	ts> w a ts> i
fetileng	f E t> i l E N
siana	s i a n a
kitlaneng	k> i tl> a n E N
lofetlho	l O f E tlh O
itumeleleng	i t> u m E l E l E N
tsoswa	ts> O s w a
batshegetsing	b a tsh E x E ts> i N
fularela	f u l a r E l a
eteletswe	E t> E l E ts> w E
ditlhale	d i tlh a l E
tšhentšha	tSh E n tSh a
tokafadiwe	t> O k> a f a d i w E
manganga	m a N a N a
tlotlwe	tl> O tl> w E
dirasiti	d i r a s i t> i
phothega	ph O th E x a
tengteng	t> E N t> E N
motlanyi	m O tl> a J i
bofologa	b O f O l O x a
tshepe	tsh E p> E
tlhaoletsweng	tlh a O l E ts> w E N
kabang	k> a b a N
dueleleng	d u E l E l E N
ntšhwafatsong	n tSh w a f a ts> O N
tshimologo	tsh i m O l O x O
ikgatholosiwang	i kx a th O l O s i w a N
mafokomašwa	m a f O k> O m a S w a
logetsa	l O x E ts> a
itidimaletseng	i t> i d i m a l E ts> E N
masetlapelo	m a s E tl> a p> E l O
fitlhelweng	f i tlh E l w E N
gakaletseng	x a k> a l E ts> E N
rerisiwa	r E r i s i w a
ditekanyong	d i t> E k> a J O N
phepafaditse	ph E p> a f a d i ts> E
bafaladi	b a f a l a d i
dutse	d u ts> E
rakagiso	r a k> a x i s O
morwadiabone	m O r w a d i a b O n E
tsabakelang	ts> a b a k> E l a N
thibele	th i b E l E
saennweng	s a E n n w E N
kamore	k> a m O r E
tlhang	tlh a N
neelanang	n E E l a n a N
diphefo	d i ph E f O
akgelwe	a kx E l w E
ikanetsweng	i k> a n E ts> w E N
tshegediwe	tsh E x E d i w E
dikgolokgolo	d i kx O l O kx O l O
mona	m O n a
modi	m O d i
itshukunyeditse	i tsh u k> u J E d i ts> E
utlweletse	u tl> w E l E ts> E
ikutlwela	i k> u tl> w E l a
dirente	d i r E n t> E
dipharologano	d i ph a r O l O x a n O
pusoselegae	p> u s O s E l E x a E
kgotletswe	kx O tl> E ts> w E
thujwa	th u d0Z w a
mogaka	m O x a k> a
nyalo	J a l O
itshwere	i tsh w E r E
fetang	f E t> a N
jalelwa	d0Z a l E l w a
matshediso	m a tsh E d i s O
seatleng	s E a tl> E N
sotlega	s O tl> E x a
tlhomamisege	tlh O m a m i s E x E
tlhaloganyana	tlh a l O x a J a n a
disusu	d i s u s u
mmotlolo	m m O tl> O l O
boitiso	b O i t> i s O
ditshesane	d i tsh E s a n E
thito	th i t> O
betsegele	b E ts> E x E l E
phatlalala	ph a tl> a l a l a
ikitsisitse	i k> i ts> i s i ts> E
bodila	b O d i l a
matlwang	m a tl> w a N
motseleganyi	m O ts> E l E x a J i
tliswa	tl> i s w a
dipholesi	d i ph O l E s i
palelong	p> a l E l O N
monagano	m O n a x a n O
kitsisong	k> i ts> i s O N
makalo	m a k> a l O
maatlafatsong	m a tl> a f a ts> O N
mothong	m O th O N
tšhwetlegileng	tSh w E tl> E x i l E N
kobetsweng	k> O b E ts> w E N
batlelwe	b a tl> E l w E
setlwaedi	s E tl> w a E d i
peelano	p> E E l a n O
kgati	kx a t> i
maitseboa	m a i ts> E b O a
kgaolelweng	kx a O l E l w E N
lekelelwa	l E k> E l E l w a
kgetholola	kx E th O l O l a
mokgona	m O kx O n a
swele	s w E l E
ritibatsa	r i t> i b a ts> a
temong	t> E m O N
lelediwa	l E l E d i w a
hisetori	h i s E t> O r i
romeletsa	r O m E l E ts> a
itlhophelo	i tlh O ph E l O
kgwediso	kx w E d i s O
molaetseng	m O l a E ts> E N
khompiutara	kh O m p> i u t> a r a
arabisanya	a r a b i s a J a
bidiwa	b i d i w a
bopileng	b O p> i l E N
sejo	s E d0Z O
senyetse	s E J E ts> E
bankang	b a n k> a N
boromiwang	b O r O m i w a N
gopolwang	x O p> O l w a N
poposešwa	p> O p> O s E S w a
metsu	m E ts> u
rulaganngwe	r u l a x a n N w E
ditsheng	d i tsh E N
mmopi	m m O p> i
morwarraago	m O r w a r r a x O
ganediwang	x a n E d i w a N
lekanyeditsweng	l E k> a J E d i ts> w E N
amogelesegeng	a m O x E l E s E x E N
karolelo	k> a r O l E l O
sajene	s a d0Z E n E
dipotlana	d i p> O tl> a n a
kgatlhegelong	kx a tlh E x E l O N
tirelopusong	t> i r E l O p> u s O N
tsenyetsa	ts> E J E ts> a
tlalong	tl> a l O N
lebotlolong	l E b O tl> O l O N
ngongoregisiwang	N O N O r E x i s i w a N
modula	m O d u l a
lefika	l E f i k> a
bapa	b a p> a
kgopolola	kx O p> O l O l a
seraleng	s E r a l E N
tlhapise	tlh a p> i s E
tlholelo	tlh O l E l O
semeletse	s E m E l E ts> E
fitlhella	f i tlh E l l a
tikologo	t> i k> O l O x O
kgoeletso	kx O E l E ts> O
mmone	m m O n E
tlhamalala	tlh a m a l a l a
sepalamo	s E p> a l a m O
ikanne	i k> a n n E
tumisa	t> u m i s a
kgomana	kx O m a n a
bafeti	b a f E t> i
dialo	d i a l O
direlanang	d i r E l a n a N
lesela	l E s E l a
letlhoding	l E tlh O d i N
tetelo	t> E t> E l O
tshwaelwe	tsh w a E l w E
dikerii	d i k> E r i i
senkela	s E n k> E l a
itumetse	i t> u m E ts> E
tshelang	tsh E l a N
motshameko	m O tsh a m E k> O
itseela	i ts> E E l a
ikgatolosa	i kx a t> O l O s a
tsetswe	ts> E ts> w E
batlhatlhobi	b a tlh a tlh O b i
umakilwe	u m a k> i l w E
diikokotlelo	d i i k> O k> O tl> E l O
mmuaesi	m m u a E s i
dijenaleng	d i d0Z E n a l E N
bodipolomate	b O d i p> O l O m a t> E
lebalwa	l E b a l w a
buisega	b u i s E x a
ntlotlile	n tl> O tl> i l E
amogelesege	a m O x E l E s E x E
tsamaise	ts> a m a i s E
tshwenngwang	tsh w E n N w a N
beeletse	b E E l E ts> E
motlatsamokaedi	m O tl> a ts> a m O k> a E d i
itseweng	i ts> E w E N
marapo	m a r a p> O
sekeletsa	s E k> E l E ts> a
tlhomamiseng	tlh O m a m i s E N
makgwakgwa	m a kx w a kx w a
neeletsana	n E E l E ts> a n a
semeleleng	s E m E l E l E N
tlhabela	tlh a b E l a
mpolaya	m p> O l a j a
motshabi	m O tsh a b i
ledile	l E d i l E
motsoko	m O ts> O k> O
ganelwa	x a n E l w a
kamogelo	k> a m O x E l O
phuthaphutha	ph u th a ph u th a
bonelweng	b O n E l w E N
boikuelong	b O i k> u E l O N
nkgonne	n kx O n n E
mmangwane	m m a N w a n E
ditoropong	d i t> O r O p> O N
itsose	i ts> O s E
mokawana	m O k> a w a n a
bosilo	b O s i l O
iketlile	i k> E tl> i l E
tshegisa	tsh E x i s a
maremo	m a r E m O
lemosegang	l E m O s E x a N
bule	b u l E
inthaneteng	i n th a n E t> E N
ikabetseng	i k> a b E ts> E N
mafulo	m a f u l O
tshukudu	tsh u k> u d u
morunikakaretso	m O r u n i k> a k> a r E ts> O
goroge	x O r O x E
tirisodikgoka	t> i r i s O d i kx O k> a
nkgakile	n kx a k> i l E
sekontari	s E k> O n t> a r i
thubaganya	th u b a x a J a
bakoping	b a k> O p> i N
huhumele	h u h u m E l E
tlhoma	tlh O m a
tlhatlogong	tlh a tl> O x O N
dingwaong	d i N w a O N
tebagano	t> E b a x a n O
diragala	d i r a x a l a
bolela	b O l E l a
borepurepu	b O r E p> u r E p> u
dimakatso	d i m a k> a ts> O
dinako	d i n a k> O
kgotsofaletse	kx O ts> O f a l E ts> E
bothapi	b O th a p> i
kolofo	k> O l O f O
hutsafetse	h u ts> a f E ts> E
bosakhutleng	b O s a kh u tl> E N
phophotha	ph O ph O th a
dikopi	d i k> O p> i
tsweledisiwa	ts> w E l E d i s i w a
hudusiwa	h u d u s i w a
mponeng	m p> O n E N
thamong	th a m O N
sejatlhapi	s E d0Z a tlh a p> i
diholo	d i h O l O
lefaufaung	l E f a u f a u N
rolela	r O l E l a
tsamaisanang	ts> a m a i s a n a N
seleng	s E l E N
tlhamalatsa	tlh a m a l a ts> a
tshosetsang	tsh O s E ts> a N
dithupa	d i th u p> a
mmatlela	m m a tl> E l a
ditlhogong	d i tlh O x O N
ikgatholose	i kx a th O l O s E
tshwaraganye	tsh w a r a x a J E
tlholwa	tlh O l w a
tlamelo	tl> a m E l O
dithorong	d i th O r O N
lelele	l E l E l E
gotetsa	x O t> E ts> a
kaegang	k> a E x a N
mpitsang	m p> i ts> a N
tlotlomaletsa	tl> O tl> O m a l E ts> a
fatlhositsweng	f a tlh O s i ts> w E N
utswile	u ts> w i l E
adimisa	a d i m i s a
mariri	m a r i r i
balote	b a l O t> E
akanye	a k> a J E
tlaleleditsweng	tl> a l E l E d i ts> w E N
bula	b u l a
tlhamalatseng	tlh a m a l a ts> E N
dipeong	d i p> E O N
dikgosana	d i kx O s a n a
oketsege	O k> E ts> E x E
tlhotlhe	tlh O tlh E
dipharologanyo	d i ph a r O l O x a J O
letse	l E ts> E
akgolela	a kx O l E l a
bararo	b a r a r O
tlhaele	tlh a E l E
atlhole	a tlh O l E
ntsime	n ts> i m E
reediwang	r E E d i w a N
lepe	l E p> E
tlhatswege	tlh a ts> w E x E
barulaganyi	b a r u l a x a J i
kgathalatsege	kx a th a l a ts> E x E
tlhabiwang	tlh a b i w a N
suba	s u b a
okobatsang	O k> O b a ts> a N
felang	f E l a N
modira	m O d i r a
itshetlegileng	i tsh E tl> E x i l E N
didirisiweng	d i d i r i s i w E N
ikaleditse	i k> a l E d i ts> E
setlhogong	s E tlh O x O N
mela	m E l a
ikgantshang	i kx a n tsh a N
boitlhamelo	b O i tlh a m E l O
kgotlelelano	kx O tl> E l E l a n O
ntlong	n tl> O N
hirisetsa	h i r i s E ts> a
oketsega	O k> E ts> E x a
sedirwa	s E d i r w a
metsotswanang	m E ts> O ts> w a n a N
palonyana	p> a l O J a n a
ntlamparela	n tl> a m p> a r E l a
simololwang	s i m O l O l w a N
tlhabololwang	tlh a b O l O l w a N
robong	r O b O N
ipulelang	i p> u l E l a N
utlwisang	u tl> w i s a N
itirisang	i t> i r i s a N
boikokobetso	b O i k> O k> O b E ts> O
kanamiso	k> a n a m i s O
boikanyo	b O i k> a J O
semmusong	s E m m u s O N
dipharagobeng	d i ph a r a x O b E N
itatswe	i t> a ts> w E
kojwana	k> O d0Z w a n a
ditse	d i ts> E
tlhatlogela	tlh a tl> O x E l a
mosireletsi	m O s i r E l E ts> i
letleleleng	l E tl> E l E l E N
tshupatlotlo	tsh u p> a tl> O tl> O
tlhokafalo	tlh O k> a f a l O
eleletsa	E l E l E ts> a
modumedi	m O d u m E d i
khemisi	kh E m i s i
kampana	k> a m p> a n a
mmegi	m m E x i
bokoso	b O k> O s O
pheteletso	ph E t> E l E ts> O
dikgolegelo	d i kx O l E x E l O
tsweletsa	ts> w E l E ts> a
dikgatonyana	d i kx a t> O J a n a
kganya	kx a J a
teatere	t> E a t> E r E
intshwarela	i n tsh w a r E l a
saese	s a E s E
epelwe	E p> E l w E
dikatoloso	d i k> a t> O l O s O
bafalodi	b a f a l O d i
mmapeng	m m a p> E N
segile	s E x i l E
dikao	d i k> a O
setswe	s E ts> w E
kgorometse	kx O r O m E ts> E
welane	w E l a n E
metheong	m E th E O N
selekano	s E l E k> a n O
mosola	m O s O l a
bothekeniki	b O th E k> E n i k> i
temeng	t> E m E N
popegong	p> O p> E x O N
tlhakanetseng	tlh a k> a n E ts> E N
rutang	r u t> a N
dialefabete	d i a l E f a b E t> E
ditsong	d i ts> O N
bonwa	b O n w a
itekanetseng	i t> E k> a n E ts> E N
khomišeneng	kh O m i S E n E N
dipe	d i p> E
sekgowa	s E kx O w a
phirimelelwang	ph i r i m E l E l w a N
manaila	m a n a i l a
tlalatlalang	tl> a l a tl> a l a N
phemelo	ph E m E l O
mogomotsi	m O x O m O ts> i
bohutsana	b O h u ts> a n a
baeteledipele	b a E t> E l E d i p> E l E
boela	b O E l a
duedisitswe	d u E d i s i ts> w E
diperesente	d i p> E r E s E n t> E
dinnye	d i n J E
matsogo	m a ts> O x O
thupiso	th u p> i s O
gaeletswe	x a E l E ts> w E
ditaolong	d i t> a O l O N
baagi	b a x i
kgapetswe	kx a p> E ts> w E
mathe	m a th E
boradipolitiki	b O r a d i p> O l i t> i k> i
peleta	p> E l E t> a
thutatsela	th u t> a ts> E l a
masaleleng	m a s a l E l E N
potsotherisano	p> O ts> O th E r i s a n O
lefelo	l E f E l O
ditshwenyego	d i tsh w E J E x O
ditšhabeng	d i tSh a b E N
ipege	i p> E x E
thikitha	th i k> i th a
ikopisang	i k> O p> i s a N
lemogilweng	l E m O x i l w E N
fitlhelegang	f i tlh E l E x a N
kopelwa	k> O p> E l w a
ditena	d i t> E n a
ntshothwane	n tsh O th w a n E
tsweletswe	ts> w E l E ts> w E
fetse	f E ts> E
rre	r r E
tshupafelo	tsh u p> a f E l O
rerisa	r E r i s a
molatswaneng	m O l a ts> w a n E N
kgwetlho	kx w E tlh O
molatofadiwa	m O l a t> O f a d i w a
tsenelang	ts> E n E l a N
itharabologelwa	i th a r a b O l O x E l w a
mantlhontlho	m a n tlh O n tlh O
gamelwang	x a m E l w a N
moriti	m O r i t> i
bantle	b a n tl> E
inela	i n E l a
dintlhana	d i n tlh a n a
poeletso	p> O E l E ts> O
obega	O b E x a
gago	x a x O
setemokerasi	s E t> E m O k> E r a s i
tsiditsana	ts> i d i ts> a n a
somamabedinngwe	s O m a m a b E d i n N w E
setsong	s E ts> O N
pakajaanong	p> a k> a d0Z a n O N
tewang	t> E w a N
maitemogelo	m a i t> E m O x E l O
tswaya	ts> w a j a
mokoping	m O k> O p> i N
maikemisetso	m a i k> E m i s E ts> O
barataro	b a r a t> a r O
metswako	m E ts> w a k> O
belegela	b E l E x E l a
makwalong	m a k> w a l O N
itlhomile	i tlh O m i l E
yotlhelele	j O tlh E l E l E
setereke	s E t> E r E k> E
direga	d i r E x a
tshedimosetso	tsh E d i m O s E ts> O
goduma	x O d u m a
pateletsego	p> a t> E l E ts> E x O
ditshwaelo	d i tsh w a E l O
itlhokomela	i tlh O k> O m E l a
tlhotlheleditswe	tlh O tlh E l E d i ts> w E
bothakga	b O th a kx a
letswai	l E ts> w a i
emelana	E m E l a n a
rulagantswe	r u l a x a n ts> w E
kotame	k> O t> a m E
akgela	a kx E l a
fudusiwa	f u d u s i w a
bolokiwang	b O l O k> i w a N
mpelaetsa	m p> E l a E ts> a
potefolio	p> O t> E f O l i O
mero	m E r O
betswa	b E ts> w a
tlhabiwe	tlh a b i w E
ditlhatlogo	d i tlh a tl> O x O
sekgemetšhaneng	s E kx E m E tSh a n E N
tlaleletsang	tl> a l E l E ts> a N
netefatswang	n E t> E f a ts> w a N
aba	a b a
kotula	k> O t> u l a
lebati	l E b a t> i
ananngwa	a n a n N w a
sebokeng	s E b O k> E N
ntlela	n tl> E l a
lomeletsang	l O m E l E ts> a N
thaetsweng	th a E ts> w E N
phetsa	ph E ts> a
lohuma	l O h u m a
kgotletseng	kx O tl> E ts> E N
bolokegileng	b O l O k> E x i l E N
seaforikanse	s E a f O r i k> a n s E
itlhamele	i tlh a m E l E
pitsa	p> i ts> a
tlhotlha	tlh O tlh a
bontlhabongwe	b O n tlh a b O N w E
dineeletsano	d i n E E l E ts> a n O
dikoko	d i k> O k> O
malepelepe	m a l E p> E l E p> E
gasa	x a s a
ntata	n t> a t> a
botshwantshi	b O tsh w a n tsh i
tuediso	t> u E d i s O
dikgosigadi	d i kx O s i x a d i
barwadi	b a r w a d i
botlhokatiro	b O tlh O k> a t> i r O
atlegeng	a tl> E x E N
oketswa	O k> E ts> w a
dilense	d i l E n s E
sekhi	s E kh i
tsholole	tsh O l O l E
ithala	i th a l a
feditswe	f E d i ts> w E
rulaganang	r u l a x a n a N
marekelo	m a r E k> E l O
ditshwanelo	d i tsh w a n E l O
searabia	s E a r a b i a
dithepe	d i th E p> E
mmarakeng	m m a r a k> E N
gapeletsegang	x a p> E l E ts> E x a N
iteilwe	i t> E i l w E
thatanyana	th a t> a J a n a
seo	s E O
dikheibole	d i kh E i b O l E
sitlhololela	s i tlh O l O l E l a
oketsegang	O k> E ts> E x a N
tsalano	ts> a l a n O
motlamedi	m O tl> a m E d i
jetseng	d0Z E ts> E N
fetotsweng	f E t> O ts> w E N
mariga	m a r i x a
tlwaelesega	tl> w a E l E S E x a
gaisitseng	x a i s i ts> E N
kobilwe	k> O b i l w E
itshetlela	i tsh E tl> E l a
tsiediwa	ts> i E d i w a
tikologa	t> i k> O l O x a
tswileng	ts> w i l E N
baemeding	b a E m E d i N
bolelong	b O l E l O N
supilwe	s u p> i l w E
lekwalodikgang	l E k> w a l O d i kx a N
iphitlhelang	i ph i tlh E l a N
badiredi	b a d i r E d i
gogilwe	x O x i l w E
jala	d0Z a l a
monongwaga	m O n O N w a x a
boikemelanosi	b O i k> E m E l a n O s i
meditona	m E d i t> O n a
ditlhagisong	d i tlh a x i s O N
diranang	d i r a n a N
dintwa	d i n t> w a
hunyeditse	h u J E d i ts> E
latlha	l a tlh a
kalokalo	k> a l O k> a l O
letlega	l E tl> E x a
atamelana	a t> a m E l a n a
modikologo	m O d i k> O l O x O
bokhukhuntshwane	b O kh u kh u n tsh w a n E
hekeng	h E k> E N
faposiwang	f a p> O s i w a N
tlatlana	tl> a tl> a n a
belegweng	b E l E x w E N
mmentlele	m m E n tl> E l E
obamelwa	O b a m E l w a
kayang	k> a j a N
podi	p> O d i
itshenotse	i tsh E n O ts> E
dipolelwanakala	d i p> O l E l w a n a k> a l a
sampole	s a m p> O l E
mmuo	m m u O
dikadimo	d i k> a d i m O
folosetse	f O l O s E ts> E
letlhabaphefong	l E tlh a b a ph E f O N
tlhatswa	tlh a ts> w a
kgonega	kx O n E x a
kwalolole	k> w a l O l O l E
bagolo	b a x O l O
jeweng	d0Z E w E N
tokafatsa	t> O k> a f a ts> a
ditekolong	d i t> E k> O l O N
kwalong	k> w a l O N
poelomorago	p> O E l O m O r a x O
kotara	k> O t> a r a
theilwe	th E i l w E
molala	m O l a l a
bogolo	b O x O l O
dipatlelong	d i p> a tl> E l O N
bakilweng	b a k> i l w E N
itaaganya	i t> a x a J a
balala	b a l a l a
inaakantse	i n a k> a n ts> E
ineele	i n E E l E
konoseditse	k> O n O s E d i ts> E
sekgala	s E kx a l a
letshwaokgwebo	l E tsh w a O kx w E b O
bokgakga	b O kx a kx a
sedisisa	s E d i s i s a
bosetlabošweng	b O s E tl> a b O S w E N
lepeepee	l E p> E E p> E E
lokwalong	l O k> w a l O N
patlame	p> a tl> a m E
iphemela	i ph E m E l a
lebaganeng	l E b a x a n E N
tlhasetswe	tlh a s E ts> w E
retelelweng	r E t> E l E l w E N
bonagaleng	b O n a x a l E N
ditikatiko	d i t> i k> a t> i k> O
ithutana	i th u t> a n a
tswelang	ts> w E l a N
mmatla	m m a tl> a
ipotsa	i p> O ts> a
makwalodikgang	m a k> w a l O d i kx a N
moraba	m O r a b a
matlhatlhaga	m a tlh a tlh a x a
iphetole	i ph E t> O l E
dikhampaseng	d i kh a m p> a s E N
itoma	i t> O m a
difoleteng	d i f O l E t> E N
ditone	d i t> O n E
timiwa	t> i m i w a
modirakopo	m O d i r a k> O p> O
galo	x a l O
dienjene	d i E n d0Z E n E
mebotlana	m E b O tl> a n a
okeditseng	O k> E d i ts> E N
atlhotseng	a tlh O ts> E N
tlhagisitswe	tlh a x i s i ts> w E
emana	E m a n a
tladiwe	tl> a d i w E
nyelelong	J E l E l O N
tlhakantsuke	tlh a k> a n ts> u k> E
bodiba	b O d i b a
ipofa	i p> O f a
romelang	r O m E l a N
faboriki	f a b O r i k> i
humile	h u m i l E
diphitlhelelo	d i ph i tlh E l E l O
botshabelo	b O tsh a b E l O
neelano	n E E l a n O
tlhophololwa	tlh O ph O l O l w a
gopang	x O p> a N
tlhamaletse	tlh a m a l E ts> E
bagwe	b a x w E
thatafala	th a t> a f a l a
thetela	th E t> E l a
ipona	i p> O n a
mangana	m a N a n a
thusano	th u s a n O
monnanyana	m O n n a J a n a
ditlhokwa	d i tlh O k> w a
ikaegilwe	i k> a E x i l w E
kgomaretsa	kx O m a r E ts> a
nang	n a N
thomo	th O m O
lebisiwe	l E b i s i w E
agilwe	a x i l w E
godisang	x O d i s a N
nepileng	n E p> i l E N
tshepagale	tsh E p> a x a l E
sekhutlong	s E kh u tl> O N
mara	m a r a
otlile	O tl> i l E
batlileng	b a tl> i l E N
setena	s E t> E n a
sediriswa	s E d i r i s w a
ngapang	N a p> a N
bulegetse	b u l E x E ts> E
tshwaraganelo	tsh w a r a x a n E l O
sepesepe	s E p> E s E p> E
akabatsang	a k> a b a ts> a N
ratana	r a t> a n a
bogodu	b O x O d u
bonyane	b O J a n E
