can't	k> a n t>
arabiwe	a r a b i w E
arajwa	a r a d0Z w a
arogana	a r O x a n a
aroganang	a r O x a n a N
arogane	a r O x a n E
aroganeng	a r O x a n E N
arogangwa	a r O x a N w a
aroganngwa	a r O x a n N w a
aroganngwang	a r O x a n N w a N
arogantse	a r O x a n ts> E
arogantseng	a r O x a n ts> E N
arogantswe	a r O x a n ts> w E
arogantsweng	a r O x a n ts> w E N
aroganya	a r O x a J a
aroganye	a r O x a J E
aroganyetswa	a r O x a J E ts> w a
arola	a r O l a
arologanya	a r O l O x a J a
arologanye	a r O l O x a J E
arolwa	a r O l w a
arotswe	a r O ts> w E
arotsweng	a r O ts> w E N
ase	a s E
asebesetose	a s E b E s E t> O s E
ata	a t> a
atameditse	a t> a m E d i ts> E
atamela	a t> a m E l a
atamelana	a t> a m E l a n a
atamelaneng	a t> a m E l a n E N
atamelang	a t> a m E l a N
atamele	a t> a m E l E
atametsa	a t> a m E ts> a
atametse	a t> a m E ts> E
atametseng	a t> a m E ts> E N
atelang	a t> E l a N
ateng	a t> E N
aterese	a t> E r E s E
atereseng	a t> E r E s E N
athikele	a th i k> E l E
athikeleng	a th i k> E l E N
atile	a t> i l E
atileng	a t> i l E N
atisa	a t> i s a
atisang	a t> i s a N
atisiwa	a t> i s i w a
atla	a tl> a
atlana	a tl> a n a
atlarelang	a tl> a r E l a N
atle	a tl> E
atlega	a tl> E x a
atlegang	a tl> E x a N
atlege	a tl> E x E
atlegeng	a tl> E x E N
atlegile	a tl> E x i l E
atlegileng	a tl> E x i l E N
atlenegisa	a tl> E n E x i s a
atlenegisang	a tl> E n E x i s a N
atlenegisiwa	a tl> E n E x i s i w a
atlenegisiwang	a tl> E n E x i s i w a N
atlhama	a tlh a m a
atlhame	a tlh a m E
atlhameng	a tlh a m E N
atlhametse	a tlh a m E ts> E
atlhamisitse	a tlh a m i s i ts> E
atlhola	a tlh O l a
atlholang	a tlh O l a N
atlhole	a tlh O l E
atlholela	a tlh O l E l a
atlholelwa	a tlh O l E l w a
atlholelwang	a tlh O l E l w a N
atlholelwe	a tlh O l E l w E
atlholelweng	a tlh O l E l w E N
atlholetse	a tlh O l E ts> E
atlholetswe	a tlh O l E ts> w E
atlholetsweng	a tlh O l E ts> w E N
atlholwa	a tlh O l w a
atlholwang	a tlh O l w a N
atlholwe	a tlh O l w E
atlhotse	a tlh O ts> E
atlhotseng	a tlh O ts> E N
atlhotswe	a tlh O ts> w E
atlhotsweng	a tlh O ts> w E N
atologa	a t> O l O x a
atologile	a t> O l O x i l E
atologileng	a t> O l O x i l E N
atolosa	a t> O l O s a
atolosang	a t> O l O s a N
atolose	a t> O l O s E
atoloseng	a t> O l O s E N
atolosetsa	a t> O l O s E ts> a
atolositswe	a t> O l O s i ts> w E
atolositsweng	a t> O l O s i ts> w E N
atolosiwa	a t> O l O s i w a
atolosiwang	a t> O l O s i w a N
atswa	a ts> w a
ausi	a u s i
ayodine	a j O d i n E
baabedi	b a b E d i
baabelwa	b a b E l w a
baabi	b a b i
baabing	b a b i N
baagelani	b a x E l a n i
baagi	b a x i
baaging	b a x i N
baagisane	b a x i s a n E
baagisani	b a x i s a n i
baakangwa	b a k> a N w a
baakangwang	b a k> a N w a N
baakanngwa	b a k> a n N w a
baakanngwang	b a k> a n N w a N
baakanngwe	b a k> a n N w E
baakantse	b a k> a n ts> E
baakantswe	b a k> a n ts> w E
baakantsweng	b a k> a n ts> w E N
baakanya	b a k> a J a
baakanyang	b a k> a J a N
baakanye	b a k> a J E
baakanyeditswe	b a k> a J E d i ts> w E
baakanyediwa	b a k> a J E d i w a
baakanyega	b a k> a J E x a
baakanyetsa	b a k> a J E ts> a
baakanyetsang	b a k> a J E ts> a N
baakanyetsi	b a k> a J E ts> i
baakanyetswa	b a k> a J E ts> w a
baalafi	b a l a f i
baalogi	b a l O x i
baamogedi	b a m O x E d i
baamogeding	b a m O x E d i N
baanelwa	b a n E l w a
baarabi	b a r a b i
baatlhodisi	b a tlh O d i s i
baba	b a b a
babadi	b a b a d i
babalamatlotlo	b a b a l a m a tl> O tl> O
babalela	b a b a l E l a
babalesega	b a b a l E s E x a
babalesegang	b a b a l E s E x a N
babalesegile	b a b a l E s E x i l E
babalesegileng	b a b a l E s E x i l E N
babaletse	b a b a l E ts> E
babatlisisi	b a b a tl> i s i s i
babatlisising	b a b a tl> i s i s i N
babatsa	b a b a ts> a
babatsega	b a b a ts> E x a
babedi	b a b E d i
babeeletsi	b a b E E l E ts> i
babeeletsing	b a b E E l E ts> i N
babegadikgang	b a b E x a d i kx a N
babegakgang	b a b E x a kx a N
babelaelwa	b a b E l a E l w a
babelegi	b a b E l E x i
babelegisi	b a b E l E x i s i
babetli	b a b E tl> i
babogedi	b a b O x E d i
baboki	b a b O k> i
babolai	b a b O l a i
babontshi	b a b O n tsh i
babopi	b a b O p> i
babotlana	b a b O tl> a n a
babuadipuo	b a b u a d i p> u O
babueledi	b a b u E l E d i
babui	b a b u i
babuisi	b a b u i s i
babusakgotla	b a b u s a kx O tl> a
babusi	b a b u s i
badilwe	b a d i l w E
badilweng	b a d i l w E N
badimo	b a d i m O
badimong	b a d i m O N
badiragatsi	b a d i r a x a ts> i
badirameepong	b a d i r a m E E p> O N
badirammogo	b a d i r a m m O x O
badiramolato	b a d i r a m O l a t> O
badiredi	b a d i r E d i
badirediloago	b a d i r E d i l O a x O
badireding	b a d i r E d i N
badiredipuso	b a d i r E d i p> u s O
badirelwa	b a d i r E l w a
badiri	b a d i r i
badiring	b a d i r i N
badirisi	b a d i r i s i
badirising	b a d i r i s i N
badisi	b a d i s i
badiwa	b a d i w a
badulasetilo	b a d u l a s E t> i l O
badumedi	b a d u m E d i
baelatlhoko	b a E l a tlh O k> O
baemanokeng	b a E m a n O k> E N
baemedi	b a E m E d i
baemeding	b a E m E d i N
baeng	b a E N
baeno	b a E n O
baesekele	b a E s E k> E l E
baesekopo	b a E s E k> O p> O
baetapele	b a E t> a p> E l E
baeteledipele	b a E t> E l E d i p> E l E
baeteledipeleng	b a E t> E l E d i p> E l E N
baeti	b a E t> i
baetleetsi	b a E tl> E E ts> i
bafaladi	b a f a l a d i
bafalodi	b a f a l O d i
bafatlhosi	b a f a tlh O s i
bafenyi	b a f E J i
bafeti	b a f E t> i
bafetoledi	b a f E t> O l E d i
bafetoleding	b a f E t> O l E d i N
bagaabo	b a x a b O
bagabona	b a x a b O n a
bagae	b a x a E
bagaeno	b a x a E n O
bagaetsho	b a x a E tsh O
bagaetshong	b a x a E tsh O N
bagaisani	b a x a i s a n i
bagaka	b a x a k> a
bagakolodi	b a x a k> O l O d i
bagale	b a x a l E
bagarona	b a x a r O n a
bagasi	b a x a s i
bagatisi	b a x a t> i s i
bagatising	b a x a t> i s i N
bagobadi	b a x O b a d i
bagodi	b a x O d i
bagodisi	b a x O d i s i
bagogi	b a x O x i
bagokaganyi	b a x O k> a x a J i
bagokaganying	b a x O k> a x a J i N
bagokgo	b a x O kx O
bagokolodi	b a x O k> O l O d i
bagolegwa	b a x O l E x w a
bagolo	b a x O l O
bagologolo	b a x O l O x O l O
bagolwane	b a x O l w a n E
bagomotsi	b a x O m O ts> i
bagwe	b a x w E
bagwebi	b a x w E b i
bagwebing	b a x w E b i N
bagwebisani	b a x w E b i s a n i
bahiriwa	b a h i r i w a
bahumagadi	b a h u m a x a d i
bahumagatsana	b a h u m a x a ts> a n a
bahumanegi	b a h u m a n E x i
bahumi	b a h u m i
baimana	b a i m a n a
baipei	b a i p> E i
baipeing	b a i p> E i N
baithaopi	b a i th a O p> i
baithui	b a i th u i
baithutedi	b a i th u t> E d i
baithuting	b a i th u t> i N
baitseanape	b a i ts> E a n a p> E
baitseanapeng	b a i ts> E a n a p> E N
baitshimololedi	b a i tsh i m O l O l E d i
bajaboswa	b a d0Z a b O s w a
bajadi	b a d0Z a d i
bajading	b a d0Z a d i N
bajanala	b a d0Z a n a l a
baji	b a d0Z i
baka	b a k> a
bakaedi	b a k> a E d i
bakang	b a k> a N
bakatisi	b a k> a t> i s i
bakatisiwa	b a k> a t> i s i w a
bakaulengwe	b a k> a u l E N w E
bakega	b a k> E x a
bakegang	b a k> E x a N
bakela	b a k> E l a
bakelang	b a k> E l a N
bakeng	b a k> E N
bakeresete	b a k> E r E s E t> E
baketeria	b a k> E t> E r i a
bakganni	b a kx a n n i
bakgatlhegedi	b a kx a tlh E x E d i
bakgweetsi	b a kx w E E ts> i
bakgweetsing	b a kx w E E ts> i N
bakhuduthamaga	b a kh u d u th a m a x a
baki	b a k> i
bakile	b a k> i l E
bakileng	b a k> i l E N
bakilwe	b a k> i l w E
bakilweng	b a k> i l w E N
bakiwa	b a k> i w a
bakiwang	b a k> i w a N
bakomisinara	b a k> O m i s i n a r a
bakopi	b a k> O p> i
bakoping	b a k> O p> i N
bakwa	b a k> w a
bakwadi	b a k> w a d i
bakwadisi	b a k> w a d i s i
bakwaledi	b a k> w a l E d i
bakwang	b a k> w a N
bakweng	b a k> w E N
bala	b a l a
balabala	b a l a b a l a
balala	b a l a l a
balang	b a l a N
balaodi	b a l a O d i
balateding	b a l a t> E d i N
balatofadiwa	b a l a t> O f a d i w a
balebeledi	b a l E b E l E d i
baledi	b a l E d i
balega	b a l E x a
balege	b a l E x E
balegeng	b a l E x E N
balekane	b a l E k> a n E
balekaneng	b a l E k> a n E N
balekani	b a l E k> a n i
balekanyetsi	b a l E k> a J E ts> i
balekeletsi	b a l E k> E l E ts> i
balekgotla	b a l E kx O tl> a
balela	b a l E l a
balelang	b a l E l a N
balelapa	b a l E l a p> a
balele	b a l E l E
balelwa	b a l E l w a
balelwang	b a l E l w a N
balelwe	b a l E l w E
balemi	b a l E m i
baleming	b a l E m i N
balemirui	b a l E m i r u i
balemiruing	b a l E m i r u i N
balemisi	b a l E m i s i
balemising	b a l E m i s i N
baletswe	b a l E ts> w E
baletsweng	b a l E ts> w E N
baloi	b a l O i
balola	b a l O l a
balolang	b a l O l a N
balosika	b a l O s i k> a
balote	b a l O t> E
baloto	b a l O t> O
balwa	b a l w a
balwang	b a l w a N
balwantshi	b a l w a n tsh i
balwela	b a l w E l a
balwetse	b a l w E ts> E
balwetsi	b a l w E ts> i
bammala	b a m m a l a
bamolao	b a m O l a O
banaka	b a n a k> a
banake	b a n a k> E
baneng	b a n E N
banetetshi	b a n E t> E tsh i
bangongoregi	b a N O N O r E x i
bangwe	b a N w E
banka	b a n k> a
bankane	b a n k> a n E
bankang	b a n k> a N
bankeng	b a n k> E N
bannaleseabe	b a n n a l E s E a b E
bannaleseabeng	b a n n a l E s E a b E N
banneng	b a n n E N
banni	b a n n i
bannye	b a n J E
bano	b a n O
banta	b a n t> a
bantle	b a n tl> E
bantshi	b a n tsh i
bantsho	b a n tsh O
bantshong	b a n tsh O N
bantsi	b a n ts> i
bantsintsi	b a n ts> i n ts> i
banyalani	b a J a l a n i
banyana	b a J a n a
baobamedi	b a O b a m E d i
bao	b a O
baokamedi	b a O k> a m E d i
baoki	b a O k> i
baoking	b a O k> i N
baopedi	b a O p> E d i
bapa	b a p> a
bapagami	b a p> a x a m i
bapalami	b a p> a l a m i
bapalang	b a p> a l a N
bapantswe	b a p> a n ts> w E
bapanya	b a p> a J a
bapatsa	b a p> a ts> a
bapatsang	b a p> a ts> a N
bape	b a p> E
baphasalatsi	b a ph a s a l a ts> i
baphasalatsing	b a ph a s a l a ts> i N
baphepafatsi	b a ph E p> a f a ts> i
bapile	b a p> i l E
bapileng	b a p> i l E N
bapisa	b a p> i s a
bapisega	b a p> i s E x a
bapisegang	b a p> i s E x a N
bapisiwa	b a p> i s i w a
bapisiwang	b a p> i s i w a N
bapiswa	b a p> i s w a
baporofeti	b a p> O r O f E t> i
bara	b a r a
baranodi	b a r a n O d i
bararo	b a r a r O
baratani	b a r a t> a n i
barataro	b a r a t> a r O
barati	b a r a t> i
bareetsing	b a r E E ts> i N
bareketoro	b a r E k> E t> O r O
bareki	b a r E k> i
bareking	b a r E k> i N
barekisi	b a r E k> i s i
barena	b a r E n a
bareng	b a r E N
barerisani	b a r E r i s a n i
baroki	b a r O k> i
barongwa	b a r O N w a
barotloetsi	b a r O tl> O E ts> i
baruakgomo	b a r u a kx O m O
baruanyi	b a r u a J i
baruanying	b a r u a J i N
barui	b a r u i
baruing	b a r u i N
barukhutlhi	b a r u kh u tlh i
barulaganyi	b a r u l a x a J i
baruni	b a r u n i
barutabana	b a r u t> a b a n a
barutabaneng	b a r u t> a b a n E N
barutabaoki	b a r u t> a b a O k> i
barutegi	b a r u t> E x i
baruti	b a r u t> i
barutisi	b a r u t> i s i
barutwa	b a r u t> w a
barutwaneng	b a r u t> w a n E N
barwa	b a r w a
barwadi	b a r w a d i
basa	b a s a
basadi	b a s a d i
basading	b a s a d i N
basari	b a s a r i
basegi	b a s E x i
basekaseki	b a s E k> a s E k> i
basekisi	b a s E k> i s i
baseline	b a s E l i n E
basenatoro	b a s E n a t> O r O
basenyi	b a s E J i
basepedi	b a s E p> E d i
basetsana	b a s E ts> a n a
basiamolodi	b a s i a m O l O d i
basimane	b a s i m a n E
basimanyana	b a s i m a J a n a
basimolodi	b a s i m O l O d i
basireletsi	b a s i r E l E ts> i
basireletsing	b a s i r E l E ts> i N
basupi	b a s u p> i
basupiwa	b a s u p> i w a
basweu	b a s w E u
baswi	b a s w i
bata	b a t> a
bataki	b a t> a k> i
bateng	b a t> E N
bathapi	b a th a p> i
bathaping	b a th a p> i N
bathapiwa	b a th a p> i w a
bathati	b a th a t> i
bathating	b a th a t> i N
bathei	b a th E i
bathong	b a th O N
bathonyana	b a th O J a n a
bathusi	b a th u s i
bathusing	b a th u s i N
bathuti	b a th u t> i
batitieding	b a t> i t> i E d i N
batla	b a tl> a
batlamedi	b a tl> a m E d i
batlameding	b a tl> a m E d i N
batlamoletlong	b a tl> a m O l E tl> O N
batlana	b a tl> a n a
batlang	b a tl> a N
batlatsamodulasetulo	b a tl> a ts> a m O d u l a s E t> u l O
batle	b a tl> E
batlega	b a tl> E x a
batlegang	b a tl> E x a N
batlege	b a tl> E x E
batlegeng	b a tl> E x E N
batlela	b a tl> E l a
batlelang	b a tl> E l a N
batlele	b a tl> E l E
batlelwa	b a tl> E l w a
batlelwang	b a tl> E l w a N
batlelwe	b a tl> E l w E
batleng	b a tl> E N
batlhabani	b a tlh a b a n i
batlhabolodi	b a tlh a b O l O d i
batlhagisi	b a tlh a x i s i
batlhalefi	b a tlh a l E f i
batlhalerwa	b a tlh a l E r w a
batlhami	b a tlh a m i
batlhanka	b a tlh a n k> a
batlhankedi	b a tlh a n k> E d i
batlhankeding	b a tlh a n k> E d i N
batlhano	b a tlh a n O
batlhatlheledi	b a tlh a tlh E l E d i
batlhatlhobi	b a tlh a tlh O b i
batlhatlhobing	b a tlh a tlh O b i N
batlhoki	b a tlh O k> i
batlhokomedi	b a tlh O k> O m E d i
batlhokwa	b a tlh O k> w a
batlhophi	b a tlh O ph i
batlhophiwa	b a tlh O ph i w a
batlhotlhomisi	b a tlh O tlh O m i s i
batlile	b a tl> i l E
batlileng	b a tl> i l E N
batlisa	b a tl> i s a
batlisisa	b a tl> i s i s a
batlisisang	b a tl> i s i s a N
batlisise	b a tl> i s i s E
batlisisitsweng	b a tl> i s i s i ts> w E N
batlisisiwa	b a tl> i s i s i w a
batlisisiwang	b a tl> i s i s i w a N
batlisisiwe	b a tl> i s i s i w E
batlisiswa	b a tl> i s i s w a
batlisiwang	b a tl> i s i w a N
batliwa	b a tl> i w a
batliwang	b a tl> i w a N
batliwe	b a tl> i w E
batlotlegi	b a tl> O tl> E x i
batlwa	b a tl> w a
batlwang	b a tl> w a N
batlweng	b a tl> w E N
batoloki	b a t> O l O k> i
batsaakarolo	b a ts> a k> a r O l O
batsading	b a ts> a d i N
batsamai	b a ts> a m a i
batsamaisi	b a ts> a m a i s i
batsamaising	b a ts> a m a i s i N
batsamayakadinao	b a ts> a m a j a k> a d i n a O
batsayakarolo	b a ts> a j a k> a r O l O
batsei	b a ts> E i
batsereganyi	b a ts> E r E x a J i
batshabi	b a tsh a b i
batshameki	b a tsh a m E k> i
batshedi	b a tsh E d i
batshegetsi	b a tsh E x E ts> i
batshegetsing	b a tsh E x E ts> i N
batshodi	b a tsh O d i
batshwarwa	b a tsh w a r w a
batsofe	b a ts> O f E
batsomi	b a ts> O m i
batswakwa	b a ts> w a k> w a
batswantle	b a ts> w a n tl> E
batswasetlhabelo	b a ts> w a s E tlh a b E l O
batswasetlhabelong	b a ts> w a s E tlh a b E l O N
baya	b a j a
bayang	b a j a N
bebofatsa	b E b O f a ts> a
bebofatsang	b E b O f a ts> a N
bedi	b E d i
bedileng	b E d i l E N
bedisitsweng	b E d i s i ts> w E N
bediwa	b E d i w a
bediwang	b E d i w a N
beela	b E E l a
beele	b E E l E
beeleditse	b E E l E d i ts> E
beeleditswe	b E E l E d i ts> w E
beeleditsweng	b E E l E d i ts> w E N
beelediwa	b E E l E d i w a
beeletsa	b E E l E ts> a
beeletse	b E E l E ts> E
beeletseng	b E E l E ts> E N
beeletswa	b E E l E ts> w a
beeletswang	b E E l E ts> w a N
beelwa	b E E l w a
beelwe	b E E l w E
beetse	b E E ts> E
beetswe	b E E ts> w E
beetsweng	b E E ts> w E N
befa	b E f a
befileng	b E f i l E N
bega	b E x a
begang	b E x a N
bege	b E x E
begegang	b E x E x a N
begela	b E x E l a
begelang	b E x E l a N
begele	b E x E l E
begelela	b E x E l E l a
begelwa	b E x E l w a
begeng	b E x E N
begetsweng	b E x E ts> w E N
begile	b E x i l E
begilwe	b E x i l w E
begilweng	b E x i l w E N
begiwa	b E x i w a
begiwang	b E x i w a N
begwa	b E x w a
begwang	b E x w a N
begwe	b E x w E
beibeleng	b E i b E l E N
beile	b E i l E
beileng	b E i l E N
beilwe	b E i l w E
beilweng	b E i l w E N
beiwa	b E i w a
beiwang	b E i w a N
beke	b E k> E
bekeng	b E k> E N
bela	b E l a
belaela	b E l a E l a
belaelang	b E l a E l a N
belaele	b E l a E l E
belaeleng	b E l a E l E N
belaelwa	b E l a E l w a
belaelwang	b E l a E l w a N
belaetsa	b E l a E ts> a
belaetsang	b E l a E ts> a N
belaetse	b E l a E ts> E
belafala	b E l a f a l a
belefo	b E l E f O
belega	b E l E x a
belege	b E l E x E
belegela	b E l E x E l a
belegelwa	b E l E x E l w a
belegeng	b E l E x E N
belegetswe	b E l E x E ts> w E
belegetsweng	b E l E x E ts> w E N
belegwa	b E l E x w a
belegwang	b E l E x w a N
belegwe	b E l E x w E
belegweng	b E l E x w E N
belela	b E l E l a
belelang	b E l E l a N
beleseditswe	b E l E s E d i ts> w E
beletsa	b E l E ts> a
belwa	b E l w a
beneng	b E n E N
beng	b E N
bente	b E n t> E
benteng	b E n t> E N
bentsha	b E n tsh a
benya	b E J a
benyabenyang	b E J a b E J a N
beola	b E O l a
bepa	b E p> a
bepe	b E p> E
berebere	b E r E b E r E
bereka	b E r E k> a
berekang	b E r E k> a N
bereke	b E r E k> E
berekela	b E r E k> E l a
berekelang	b E r E k> E l a N
berekelwa	b E r E k> E l w a
berekwa	b E r E k> w a
besa	b E s a
bese	b E s E
beseng	b E s E N
betelelwa	b E t> E l E l w a
beteletse	b E t> E l E ts> E
beteri	b E t> E r i
betile	b E t> i l E
betla	b E tl> a
betlang	b E tl> a N
betleng	b E tl> E N
betlileng	b E tl> i l E N
betlilwe	b E tl> i l w E
betlilweng	b E tl> i l w E N
betologa	b E t> O l O x a
betologang	b E t> O l O x a N
betologile	b E t> O l O x i l E
betsa	b E ts> a
